Window,Alpha,Beta,AlphaBetaRatio
1,4.110338454767916e-06,8.966517460832837e-06,0.4584096861153199
2,4.407789439837439e-06,1.1926428581218015e-05,0.3695816739957607
3,2.733268437884473e-06,1.820708432051711e-05,0.1501211500846635
4,3.0133276283198518e-06,1.6745176397963243e-05,0.17995197880903605
5,2.3785807056771734e-06,4.841680292047438e-06,0.49127174084254227
6,4.402255409236506e-06,2.4967442167381905e-06,1.7631984004303505
7,6.0448433043367215e-06,2.8544214283505217e-06,2.1177122776260275
8,6.388522637036715e-06,4.636389786334103e-06,1.3779088755365383
9,5.583471398498157e-06,3.98999390459681e-06,1.3993684030608484
10,3.5658046859433243e-06,2.8359304806317814e-06,1.2573667479849306
11,4.869881563048162e-06,3.0858531638097156e-06,1.5781313317695034
12,2.4318157803817317e-06,2.1449770456895867e-06,1.1337257828789162
13,7.0895565583562e-07,2.2999621570563614e-06,0.3082466612159336
14,2.259305713759906e-06,2.0648381027724585e-06,1.0941805610456024
15,5.77220940804447e-06,2.741788810542731e-06,2.1052713417784625
16,7.840531478218446e-06,3.01139802919713e-06,2.6036184530242297
17,4.981090071487399e-06,2.217594580563842e-06,2.2461680395254735
18,3.572068735439029e-06,2.2591214202035995e-06,1.58117607291648
19,9.358905418489177e-06,2.4617871525576643e-06,3.8016712406536763
20,7.76473881251871e-06,1.9986077991925952e-06,3.8850738077053126
21,1.234565709602069e-06,2.248993886137903e-06,0.5489413364845263
22,2.395939901916852e-06,3.736265505186226e-06,0.6412659642605971
23,6.3908175743841916e-06,4.139781863588641e-06,1.5437570830952434
24,5.571617953625834e-06,2.747581422074182e-06,2.0278263307733946
25,3.1092433556093564e-06,2.0698369939229588e-06,1.50216822133245
26,1.5479170652352057e-05,5.686099906692508e-06,2.7222825673768343
27,1.4499452322152862e-05,6.297859624597122e-06,2.302282550967528
28,1.6107131509880573e-06,3.190547005527502e-06,0.5048391853176141
29,2.6149624528974116e-06,4.485519827374678e-06,0.5829786855335156
30,3.0107270170951674e-06,4.444954823627105e-06,0.677335796776085
31,1.9907612944639687e-06,1.963724249360671e-06,1.0137682493415765
32,1.7768010950379525e-06,1.773857315001696e-06,1.0016595359792249
33,6.362283819051695e-07,2.6969310012358674e-06,0.23590829042849745
34,3.465632479312154e-07,2.7802492037165496e-06,0.12465186482849831
35,1.1314901497303015e-06,1.7199872476030037e-06,0.6578479877145372
36,1.28904425336464e-06,2.0664992611298423e-06,0.6237816183199917
