Window,Alpha,Beta,AlphaBetaRatio
1,1.1229827950690867e-05,1.4587432749740567e-05,0.7698289440882314
2,7.262810621450418e-06,2.110926635739665e-05,0.3440579363813628
3,1.2135937344870531e-05,2.1303138926744494e-05,0.5696783646110842
4,3.285154136342888e-05,2.1827425669311952e-05,1.5050579881078772
5,3.672314987787919e-05,3.224099414634873e-05,1.1390203946933213
6,1.794240765274712e-05,2.964862050330191e-05,0.6051683804563153
7,6.927465348990117e-06,1.2973548492368162e-05,0.5339684322346564
8,1.1929671682168988e-05,2.3720461570570732e-05,0.5029274681977426
9,1.5908940109366074e-05,2.4080207523713464e-05,0.6606645766528145
10,2.3145830376501422e-05,1.8323532290366617e-05,1.2631751351059135
11,3.72136408642239e-05,2.5857793741562616e-05,1.4391653532454483
12,2.1586174134944108e-05,1.4747006950125698e-05,1.463766458370057
13,6.838220822015154e-06,9.670616712036318e-06,0.7071132095954247
14,1.694796467196688e-05,7.993201740744196e-06,2.120297375403034
15,1.5231270392383485e-05,4.175571596894531e-06,3.6477090714266116
16,1.7127222042467418e-06,5.376796972671869e-06,0.318539497204717
17,4.267763149597519e-06,8.54437710204771e-06,0.4994820685728776
18,8.189599446902722e-06,1.0820777061405398e-05,0.7568402343407176
19,5.838904962523369e-06,7.67673789553328e-06,0.7605971497243307
20,6.625139471356076e-06,8.791198064537645e-06,0.7536105343913112
21,6.76453932487489e-06,9.3742085540612e-06,0.7216117804360435
22,2.4379516088184308e-06,4.938532290895525e-06,0.4936591410595691
23,2.9417992532816013e-06,4.19536387160374e-06,0.7012024089717527
24,1.908316152265583e-06,6.1387793427293684e-06,0.31086247700461
25,1.6396362982509012e-06,5.5614037461059635e-06,0.2948241798482905
26,2.374303442833011e-06,3.7264219668784277e-06,0.6371536728627467
27,3.9119783921712865e-06,4.58576616431338e-06,0.8530697493069888
28,3.086315206551197e-06,3.1529259907057817e-06,0.9788733435700868
29,2.130194027042175e-06,2.3625225588590635e-06,0.9016608197260613
30,2.067009974704744e-06,2.6356585112348653e-06,0.784248022228154
31,1.8444274804615432e-06,3.3809913746853273e-06,0.5455285968108115
32,2.2536540546846077e-06,2.684733272899101e-06,0.8394331300744101
33,6.3688951324220755e-06,5.171898896731246e-06,1.2314423115361666
34,6.971706703677659e-06,5.41414701729576e-06,1.2876833010640822
35,2.472692617199531e-06,2.1707499126473543e-06,1.1390960344132597
36,1.0839267918374274e-06,1.6840360394101603e-06,0.6436482156385896
37,1.33803383662135e-06,2.3337528624002602e-06,0.573339987356324
38,1.2730615249393527e-06,2.5299808538149874e-06,0.5031901814670607
39,1.4193233210715706e-06,1.4296844682333381e-06,0.9927528434476379
40,1.2974143554113121e-06,2.104766672327159e-06,0.6164171888833699
41,6.529084587942597e-07,2.6701428435259725e-06,0.24452192150592295
42,1.0930708810794315e-06,2.0975214171387558e-06,0.52112501552928
43,2.368441810328235e-06,1.9465358425281353e-06,1.2167470840157424
44,2.5766096157614084e-06,1.986062782820776e-06,1.297345500881844
45,1.9930387319220227e-06,1.4512005688028285e-06,1.3733723475357957
46,1.968623978136887e-06,2.2637992908253582e-06,0.8696106523733147
47,2.355387124995048e-06,2.2046424283701824e-06,1.0683760299108032
48,2.8729368715314345e-06,1.2314938457001684e-06,2.3328877213332886
49,3.363444325780451e-06,2.8123771471467224e-06,1.1959435558608524
50,4.461349984061693e-06,3.1497390829299357e-06,1.4164189053753864
51,2.9812063099249602e-06,2.552165746533534e-06,1.168108424765973
52,2.441467075076087e-06,2.411203575864955e-06,1.0125512003690007
53,5.498563263675336e-06,1.6751417325438494e-06,3.2824465875644364
54,5.415280079244492e-06,3.202435411822268e-06,1.6909880709079026
55,2.667041204763534e-06,4.258025426655509e-06,0.6263563359832676
56,1.3089223671612795e-06,2.7518702184928656e-06,0.4756482912475958
57,1.012127360357562e-06,1.8600759574525897e-06,0.5441322739011638
58,3.0478095224979756e-06,1.3918922678855054e-06,2.1896878033010836
59,2.9436241843716227e-06,1.0665397457406295e-06,2.7599760778980658
60,2.9438436709680493e-06,3.2330572920246115e-06,0.9105448512248757
61,4.6089323390974585e-06,4.586794387558939e-06,1.0048264538734428
62,2.9752157058346536e-06,3.2027366075577002e-06,0.9289604704969646
63,3.2480155976575155e-06,2.9967048864525076e-06,1.0838623490558355
64,3.8559755375104455e-06,2.625984417053094e-06,1.4683923912380483
65,8.411262904791258e-06,1.975864434827086e-06,4.2570040517619585
66,8.523295463171104e-06,2.4622307198335063e-06,3.4616152720844293
67,1.7586866984297661e-06,1.8924406367383556e-06,0.9293219899678777
68,2.8128316142177058e-06,2.239055188537875e-06,1.2562582774275037
69,3.6848527014215e-06,2.423896445885226e-06,1.5202186989781912
70,2.314885150202634e-06,2.595675802824172e-06,0.8918236814027278
71,7.778376563660349e-07,2.945485985750852e-06,0.26407786699000424
