Window,Calmness Index,State
1,1.0543441827485613,Not Calm
2,2.337739508050615,Calm
3,1.9400092332687142,Neutral
4,1.4322957317694174,Not Calm
5,2.4871026250132373,Calm
6,1.9423702902850266,Neutral
7,2.3132476545009224,Calm
8,1.7362253415221487,Neutral
9,2.822948714703121,Calm
10,1.4762742942035865,Neutral
11,2.6073281803313644,Calm
12,1.6301111759046072,Neutral
13,1.8297812089248473,Neutral
14,2.172064117712134,Calm
15,1.758895092459809,Neutral
16,1.2475734811225083,Not Calm
17,1.6706278022988161,Neutral
18,1.1118429228878894,Not Calm
19,0.9032968906540397,Not Calm
20,1.0625164271446266,Not Calm
21,1.882164291289449,Neutral
22,1.516519321736912,Neutral
23,1.5444045578801353,Neutral
24,1.5735407585227075,Neutral
25,1.1218059735663946,Not Calm
26,1.7505454586479203,Neutral
27,2.551948924729396,Calm
28,1.0113038824123257,Not Calm
29,0.9391383895840855,Not Calm
30,2.5828962005879283,Calm
