Alpha,Beta,Label
4.262688296774177e-09,2.346001512139322e-08,0.1817001512879259,Not Calm
5.612174335979457e-09,1.7985532646615343e-08,0.3120382613208622,Calm
2.814088242904729e-09,2.0179697525440334e-08,0.1394514580487164,Not Calm
2.3073747999078284e-09,2.0239138418675605e-08,0.11400558423864057,Not Calm
6.6545939757910005e-09,1.857077594748596e-08,0.35833688342418857,Calm
6.095858664291956e-09,1.6454865748339696e-08,0.3704593375310298,Calm
2.948694389820822e-09,1.1782478458479995e-08,0.25026096166537953,Neutral
3.5509088998079412e-09,8.460520764185022e-09,0.41970334909401885,Calm
3.736860881039212e-09,1.1520858607178408e-08,0.3243561099439977,Calm
6.216483922708364e-09,1.4793961233892841e-08,0.4202041511685492,Calm
6.194662808587821e-09,1.8828440111608287e-08,0.32900563041165737,Calm
7.225092100688886e-09,2.1802898306080624e-08,0.3313821859488229,Calm
6.2648449742658325e-09,2.5209776445367594e-08,0.24850854936545957,Neutral
3.9041636616539795e-09,2.2644403294361687e-08,0.17241185872299367,Not Calm
4.632302995391609e-09,1.7254970030260413e-08,0.26846195544053914,Neutral
3.0825735435460696e-09,1.632916849955938e-08,0.18877712870862032,Neutral
2.132214687945709e-09,1.5244747669357874e-08,0.13986552838991792,Not Calm
4.003789755146657e-09,1.3943790698708091e-08,0.28713782655369413,Neutral
3.4695789662109694e-09,1.7120558799011668e-08,0.20265570808420463,Neutral
1.2469534459348124e-09,2.137837477235282e-08,0.05832779428805839,Not Calm
1.4396449176774375e-09,1.8357056299516996e-08,0.0784246065484539,Not Calm
2.5709168407164236e-09,2.040656177952155e-08,0.12598481157646052,Not Calm
5.685292531072327e-09,2.4702680991629806e-08,0.2301488058319952,Neutral
7.638141931423418e-09,2.767536186962918e-08,0.27599067963066026,Neutral
5.897772970221517e-09,1.876271353809475e-08,0.3143347553778409,Calm
3.567156653748905e-09,1.2089236739851435e-08,0.2950688062869999,Calm
3.5092412183727854e-09,1.6467364231250127e-08,0.21310278737342167,Neutral
6.444704226311674e-09,1.3541879835538104e-08,0.4759091281698399,Calm
7.511692208625728e-09,1.3526259130476725e-08,0.5553414389127544,Calm
5.798938259490279e-09,1.8451532015636326e-08,0.3142795001832966,Calm
4.688778723631487e-09,1.64478628160815e-08,0.2850691774403144,Neutral
2.631140118787894e-09,2.3536342575221884e-08,0.11179052609294754,Not Calm
3.2489995795212995e-09,2.8001584603807252e-08,0.11602913283270216,Not Calm
5.775711768909169e-09,1.9761671535747363e-08,0.2922683821791768,Calm
4.300625001117261e-09,1.3834433458959206e-08,0.3108638321818786,Calm
6.4311882664881765e-09,1.8897418016158783e-08,0.3403210036942086,Calm
