Alpha,Beta,AlphaBetaRatio,Label
1.6568384196963798e-06,4.214953265763277e-06,0.3930858339888013,Not Calm
2.4340304135101565e-06,4.031549274119663e-06,0.603745668975274,Not Calm
3.994338701807825e-06,2.301960674408794e-06,1.7351898085025623,Calm
8.749239736004587e-07,1.5243822648829306e-06,0.5739531308884986,Calm
1.8876341360408813e-06,1.1985602384153145e-06,1.5749180354394463,Calm
2.1089513586434354e-06,3.474839040266836e-06,0.6069205894732572,Not Calm
2.0614932706028702e-06,1.392835862873688e-06,1.480069063090904,Calm
1.3629426129466852e-06,1.4597681758814884e-06,0.9336705892520676,Not Calm
3.402689579330676e-06,1.618807154142143e-06,2.1019734009847943,Calm
1.7751497509718657e-06,4.666330071018352e-06,0.3804166709073941,Not Calm
2.116558767245534e-06,3.5472823012900694e-06,0.5966705177300908,Not Calm
2.3694688512959945e-06,1.4674872859941885e-06,1.614643529733026,Calm
2.4886247319418674e-06,2.274498629194037e-06,1.094142111144602,Calm
1.1829381581167009e-06,4.970137423196107e-06,0.2380091448972447,Not Calm
2.3316712877087203e-06,1.4117960157914678e-06,1.651563867320847,Calm
3.232085733042676e-06,2.0099347184117948e-06,1.60805507931949,Calm
3.356644755045437e-07,1.0899690735296498e-06,0.3079577977543533,Calm
2.3300972135364305e-06,2.881038278222147e-06,0.8087699601736305,Not Calm
3.5123288405776267e-06,2.8074206370714026e-06,1.2510874908441074,Not Calm
1.016175097298284e-06,9.51841768015734e-07,1.0675882604066251,Calm
9.017169830571088e-07,1.0088917728981935e-06,0.8937697851046909,Calm
2.834721615759014e-06,4.19492290666503e-06,0.675750586799847,Not Calm
1.2397003802051138e-06,5.651678220832837e-06,0.2193508426639389,Not Calm
1.1959473366662518e-06,1.4037313053570972e-06,0.8519773920422848,Calm
4.760543880711758e-06,2.0962152150784524e-06,2.271018665673405,Calm
1.7989921006062653e-06,9.865109562755012e-07,1.8235905938624608,Calm
4.066486924560156e-06,4.3324207703205e-06,0.938617724395068,Not Calm
2.1109105147327515e-06,9.855547436921788e-07,2.1418500882301656,Calm
5.165223109861278e-07,8.579244549875101e-07,0.6020603655524046,Calm
9.205138179794708e-07,1.502837108605486e-06,0.6125173598046396,Calm
3.872897140832706e-06,1.4214762028756251e-06,2.7245599560498395,Calm
8.594348044194941e-07,1.5601265677707657e-06,0.550875052174468,Not Calm
1.1260333072859932e-06,4.171788878290515e-06,0.2699161774810165,Not Calm
2.34026120822232e-06,3.157283132061939e-06,0.7412262728220883,Not Calm
2.93042181921145e-06,1.029401440540967e-06,2.8467240318523994,Calm
6.971481620672385e-07,7.155009658264803e-07,0.9743497149049376,Calm
2.4479172737389848e-06,1.4746082972058565e-06,1.6600457751237334,Calm
1.047613816546274e-06,1.013691334480975e-06,1.0334643109903543,Calm
1.04612167138622e-06,7.841855843525553e-07,1.334023083642791,Calm
5.711400270352824e-06,6.4537511987705935e-06,0.8849737299201768,Not Calm
2.291931135574699e-06,3.534315919583273e-06,0.6484794194190027,Not Calm
4.2320062694540114e-06,1.3736706724068987e-06,3.0808012098262494,Calm
1.4912050324794838e-06,3.2830612748750954e-06,0.4542117577553337,Not Calm
2.443698088121667e-06,9.25949100525513e-07,2.639127881580932,Calm
9.884148758598155e-07,2.0176819352540773e-06,0.4898764560408026,Not Calm
5.20100146643595e-07,9.745506507211855e-07,0.5336820064290257,Calm
1.5631280069502575e-06,1.6857574123192998e-06,0.927255603639716,Calm
2.119514589352698e-06,2.038180343107695e-06,1.0399053236481466,Calm
1.4424920139032318e-06,2.184832125929957e-06,0.6602301370359273,Calm
2.652072863613262e-06,7.300031570431688e-06,0.3632960813971427,Calm
1.4074669931225543e-06,3.109530134284307e-06,0.4526301184878205,Not Calm
3.882914846911518e-06,2.869489648888027e-06,1.3531726272008715,Not Calm
1.2627170811529848e-06,1.210052731794994e-06,1.0435223589635374,Calm
5.871428670998571e-07,1.1067622828279678e-06,0.5305049478191524,Calm
2.7992429246677657e-06,5.157777297590854e-06,0.5427227201095449,Not Calm
2.2613726783774246e-06,8.134750577534529e-07,2.77989184403832,Calm
2.176719592439302e-07,2.4589872417839564e-06,0.0885209795094392,Not Calm
5.197883854503703e-06,5.492546697174887e-06,0.9463522371466146,Not Calm
1.0349626886356855e-06,1.66076880534442e-06,0.6231828809074054,Not Calm
9.412790044999308e-07,2.135582669167536e-06,0.4407598067214356,Calm
1.651011161052112e-06,9.93822870806967e-07,1.6612730593647127,Calm
1.1813270162951825e-06,1.093556305277394e-06,1.080261720950458,Calm
1.8908085054965585e-06,1.6033314819528108e-06,1.1792998059226087,Calm
2.8638233893133285e-06,2.1925794679534823e-06,1.3061434858670706,Calm
1.1032269547844917e-06,1.5638645777737825e-06,0.7054491613046028,Calm
9.469558893578436e-07,2.025341594286658e-06,0.4675536670106106,Not Calm
6.828795646396003e-07,6.801199714929519e-07,1.0040575093546964,Calm
7.741642922586394e-07,1.9429710528139736e-06,0.3984435543377909,Calm
2.5097089637370625e-06,4.479038279433069e-07,5.603231781387516,Calm
2.224093947091378e-06,2.0619047080902944e-06,1.078659910113548,Calm
1.7767944799807704e-06,2.159792543777694e-06,0.8226690499046627,Calm
7.028737188176041e-07,1.1175049662086849e-06,0.6289669756029955,Calm
1.747320777900166e-06,4.023745501500315e-06,0.4342523097568299,Not Calm
7.468844174284124e-07,2.119243670192356e-06,0.3524297030745032,Calm
1.955004059959166e-06,8.600776466958197e-07,2.273055307819882,Calm
1.3928675241570505e-06,1.62182123126238e-06,0.8588292576937604,Calm
8.77858413033535e-07,1.943430466829314e-06,0.4517055938027727,Calm
1.8850359574669708e-06,2.1174839786137213e-06,0.8902244250750223,Calm
1.2750667588891597e-06,3.0751693033068647e-06,0.4146330276898979,Not Calm
9.84390554083138e-07,4.477778691999286e-06,0.2198390366728055,Not Calm
2.7076568633900585e-06,2.693023184390349e-06,1.0054339223978952,Not Calm
7.343978950169885e-07,1.730456403006436e-06,0.4243954911207648,Calm
2.588075592670253e-06,3.228793978485195e-06,0.8015610812940323,Not Calm
1.6569394251996052e-06,1.1831586623758176e-06,1.4004372176698785,Calm
2.5498274884422616e-06,7.078849350421582e-07,3.602036661919364,Calm
2.336385617090295e-06,3.74761957808524e-06,0.6234319061498812,Not Calm
1.3076663587338354e-06,2.8374274164294915e-06,0.460863369107553,Not Calm
4.5024222656481226e-06,2.251511902662021e-06,1.999732828560573,Calm
6.981835851121404e-06,5.172271853827733e-06,1.3498586401552937,Not Calm
4.767665121658315e-06,7.388870599072411e-06,0.6452495083967016,Not Calm
2.30154205966922e-06,1.159593706151866e-06,1.9847831593592649,Calm
6.092176087288356e-06,1.8854723533601436e-06,3.231113983947497,Calm
1.2877727080696025e-06,1.2999735334176614e-06,0.9906145586549112,Calm
7.751034182425396e-07,1.6636962843762272e-06,0.4658923780268889,Calm
7.596349386715511e-07,2.602703047254352e-06,0.2918638526484635,Not Calm
3.5805803226106824e-06,4.784906531375054e-06,0.7483072655928599,Not Calm
1.0476954700678594e-06,1.8822824297731728e-06,0.5566090685945114,Calm
9.86798830650244e-07,2.2061959994835014e-06,0.4472852053404441,Not Calm
1.8692428287159516e-06,1.282992546196563e-06,1.45693974158878,Calm
8.249646230536215e-07,1.6281283973950116e-06,0.5066950643288062,Calm
4.566309235100402e-07,1.264286838466369e-06,0.3611766804943979,Calm
