Time(s),Alpha,Beta,AlphaBetaRatio,AI_State
0.03,2.7897226240140295e-06,3.5330149422375848e-06,0.7896152916486672,Not Calm
0.37,2.9244405642487423e-06,2.2894715276000487e-06,1.2773430588649004,Calm
0.87,2.155529167758321e-06,4.0853433079477114e-06,0.5276249767222524,Not Calm
1.37,2.2473565452197653e-06,3.4970051652075135e-06,0.6426517660251744,Not Calm
1.87,3.345481753369807e-06,3.1881968231035797e-06,1.0493335069925567,Not Calm
2.37,3.0436851396284313e-06,3.6757797575596895e-06,0.8280379512316323,Not Calm
2.87,2.3832733246894043e-06,3.3678127361741163e-06,0.7076620677540513,Not Calm
3.37,2.0608323219336066e-06,2.1389634313594433e-06,0.9634724426419111,Calm
3.87,2.2176645701756217e-06,2.0741211095154322e-06,1.069206884786841,Calm
4.37,2.699397400496963e-06,2.964819544974637e-06,0.9104761215813071,Not Calm
4.87,6.818985977901771e-06,3.510118841271183e-06,1.9426652732453606,Not Calm
5.37,1.0196538423215459e-05,4.2614590869586946e-06,2.392734088289111,Not Calm
5.87,1.164077498143781e-05,5.275655632707578e-06,2.2065077389184173,Not Calm
6.37,2.1951118147610134e-05,4.532175037771781e-06,4.84339593344618,Not Calm
6.87,3.7530679068606266e-05,3.0017974893815107e-06,12.502735178294481,Calm
7.37,3.201397139316121e-05,3.338386692493e-06,9.589653429050246,Calm
7.87,1.9288260117738152e-05,4.914954955041898e-06,3.924402216128495,Not Calm
8.37,8.489739049149057e-06,5.604618805139615e-06,1.5147754636521746,Not Calm
8.87,8.116807122581896e-06,9.924436823366672e-06,0.8178607277212157,Not Calm
9.37,9.17579929893679e-06,7.161904919683487e-06,1.2811953526105044,Not Calm
9.87,1.2736304224617445e-05,4.9219381016079014e-06,2.587660381274755,Not Calm
10.37,1.7979550891221277e-05,3.5812134989723847e-06,5.020519133076104,Not Calm
10.87,2.2675827075241464e-05,2.7146645904599598e-06,8.353086106817852,Calm
11.37,3.701437829448523e-05,3.4824343977610723e-06,10.62888027934784,Not Calm
11.87,1.9036737320409922e-05,3.243849869044988e-06,5.868563000424699,Not Calm
12.37,8.247216292275678e-06,4.195332865614105e-06,1.9658073760658477,Not Calm
12.87,1.657147044313391e-05,4.714265737380398e-06,3.5151752926728883,Not Calm
13.37,8.603807251570283e-06,3.3605193899746433e-06,2.560261154045953,Not Calm
13.87,1.6276659437242887e-05,4.089864092183645e-06,3.979755578761179,Not Calm
14.37,1.874251694217206e-05,3.67379138309765e-06,5.101682427696489,Not Calm
14.87,2.2834469058156328e-05,3.8157847328365755e-06,5.984213119166619,Not Calm
15.37,2.7605661954373122e-05,5.72656176299306e-06,4.82063463154629,Not Calm
15.87,1.4784535218088495e-05,1.1041150669990275e-05,1.339039350153304,Not Calm
16.37,6.545258612841624e-06,6.832315259383324e-06,0.9579854506644049,Not Calm
16.87,3.6118544627313607e-06,4.483897590927983e-06,0.8055167160907113,Not Calm
17.37,4.028956632420423e-06,4.316098551145916e-06,0.9334718808380181,Not Calm
17.87,1.1819672718002419e-05,4.370711650018796e-06,2.7042902081979237,Not Calm
18.37,1.536313866993024e-05,3.6170174681113625e-06,4.247460457511186,Not Calm
18.87,2.905843215193116e-06,3.245076380521143e-06,0.8954621939365421,Not Calm
19.37,2.1836769162419936e-06,2.594480420912568e-06,0.8416625150225336,Not Calm
19.87,1.1217093013762246e-05,3.1994352543439775e-06,3.505960309255339,Not Calm
20.37,8.65646119718836e-06,5.568804867948144e-06,1.554455830731573,Not Calm
20.87,7.75957662227058e-06,8.373115538977178e-06,0.92672513428836,Not Calm
21.37,1.3354693013577747e-05,8.763617241577734e-06,1.5238790838808327,Not Calm
21.87,1.154711493877659e-05,6.964990413021514e-06,1.657879516558772,Not Calm
22.37,1.0451763918771855e-05,5.038352143603165e-06,2.0744409324468736,Not Calm
22.87,2.179843936635435e-05,4.160151956508357e-06,5.2398180629560285,Not Calm
23.37,1.6030772251822244e-05,3.879259710650618e-06,4.132430785133901,Not Calm
