Time(s),Alpha,Beta,AlphaBetaRatio,AI_State
0.03,1.0367503655595175e-05,2.4283245881533447e-06,4.269406036644918,Not Calm
0.49,5.299626995326628e-06,3.5249815510478783e-06,1.503448151026832,Not Calm
1.04,6.401577436920666e-06,2.9921376895201243e-06,2.139466194801799,Not Calm
1.59,5.266461603834559e-06,1.8076554456485906e-06,2.913421148102116,Not Calm
2.13,2.606231828256336e-06,2.142587814784902e-06,1.2163944041275994,Not Calm
2.68,1.213098614452377e-06,3.2472029412480947e-06,0.37358262985131147,Not Calm
3.23,2.9890312831062007e-06,4.091669298197261e-06,0.7305163407079676,Not Calm
3.78,1.0432328751796791e-05,3.848920173202744e-06,2.710455993457483,Not Calm
4.32,9.46201961121986e-06,3.123605258985476e-06,3.029198258647142,Not Calm
4.87,1.0838817123065603e-05,2.625328987925334e-06,4.128555763074471,Not Calm
5.42,2.8565747184077077e-05,4.610281727061916e-06,6.196095786597781,Not Calm
5.96,4.0751450772737825e-05,6.140672833940616e-06,6.636316878420414,Not Calm
6.51,2.2233059406168585e-05,6.440062714094268e-06,3.4523047978260952,Not Calm
7.06,3.8562974053382577e-05,7.99958093186968e-06,4.820624277923213,Not Calm
7.60,0.0001920753826500062,2.7486643736532844e-05,6.987953294374621,Not Calm
8.15,0.00170381615052276,0.00013032947473863772,13.073145226278147,Not Calm
8.70,0.0010415458508152996,7.077626221106472e-05,14.716033572234487,Not Calm
9.24,2.6258149653855377e-05,1.0633122685667997e-05,2.4694673832032232,Not Calm
9.79,2.1393785688148517e-05,4.267215974538757e-06,5.013523059483993,Not Calm
10.34,1.3405274250371483e-05,4.323911439941497e-06,3.1002656822575574,Not Calm
10.89,3.415980160344498e-05,9.25018878943987e-06,3.69287615431614,Not Calm
11.43,2.2250148622225535e-05,1.065690412368286e-05,2.087862325117384,Not Calm
11.98,1.932759529684313e-05,5.699022614101255e-06,3.3913877177852054,Not Calm
12.53,2.5504298609089087e-05,4.57654243372502e-06,5.572831231967881,Not Calm
13.08,1.1759799001574236e-05,5.421819889974655e-06,2.1689763290217314,Not Calm
13.62,4.236359086358356e-05,9.306209726308716e-06,4.552185273003402,Not Calm
14.17,2.8069746401609e-05,1.5915258956660727e-05,1.7637002626251,Not Calm
14.72,1.9157633067257263e-05,1.3085052884707372e-05,1.4640852609504524,Not Calm
15.26,5.5230896700001776e-06,7.858101716145242e-06,0.7028529114929178,Not Calm
15.81,4.787961082794058e-06,5.2057225443958266e-06,0.9197495721220282,Not Calm
16.36,5.064722601107178e-06,4.091177027139552e-06,1.2379622215097117,Not Calm
16.91,3.300572554345773e-06,5.212005956417589e-06,0.6332633887882934,Not Calm
17.45,3.064020155099657e-06,5.223442957805344e-06,0.5865901436754697,Not Calm
18.00,2.4644952095103786e-06,5.1735564274541896e-06,0.4763638406323734,Not Calm
18.55,3.7124524335183594e-05,5.670747709028648e-05,0.6546671839425338,Not Calm
19.10,0.00010519483672875442,0.00013886504089457086,0.7575328970566498,Not Calm
19.64,4.561040252901189e-05,3.3437196146801904e-05,1.3640618169288183,Not Calm
20.19,4.0713882947307344e-05,2.229515177215103e-05,1.8261316793619333,Not Calm
20.74,5.2164133712162305e-05,1.708679571488623e-05,3.0528915182567706,Not Calm
21.28,4.9468061243903186e-05,1.732162543510681e-05,2.855855614083607,Not Calm
21.83,5.802310878026528e-05,3.498601378417638e-05,1.6584658411844624,Not Calm
22.38,9.730946273222779e-05,5.25779468371167e-05,1.8507657408853682,Not Calm
22.92,0.00016509421558088877,0.00011171869565631064,1.4777671240342942,Not Calm
23.47,0.00014853037373540378,0.00012481446457947087,1.1900093008918267,Not Calm
24.02,7.822424779215981e-05,0.0001607655732993765,0.48657337629425906,Not Calm
24.57,0.00012254308377548137,0.00012280216863524277,0.9978902256968201,Not Calm
25.11,4.857215202367313e-05,2.4896154056170114e-05,1.9509901776027652,Not Calm
25.66,8.637326115693713e-06,1.075649586964861e-05,0.8029869783212099,Not Calm
26.21,2.202112853697628e-05,1.5407933551737173e-05,1.4292071330028226,Not Calm
26.76,3.051518831102668e-05,9.240454319017633e-06,3.3023471852703015,Not Calm
27.31,1.0385697186420738e-05,5.870212225999042e-06,1.7692200531392563,Not Calm
27.86,9.167288003633534e-06,6.12633085820407e-06,1.4963749454303745,Not Calm
28.41,1.1167345346026056e-05,3.7708216439413838e-06,2.961515128663998,Not Calm
28.95,1.1711566576963562e-05,2.6416136556172515e-06,4.4334895650086965,Not Calm
29.51,9.195095857142295e-06,2.9915108702108476e-06,3.0737297158790557,Not Calm
30.05,1.4141955925700691e-05,2.2809991471837255e-06,6.199895314805926,Not Calm
30.60,1.7717298392655216e-05,2.495391355525774e-06,7.10000792197271,Not Calm
31.15,1.3595262609541666e-05,2.4957870638152634e-06,5.447284668892722,Not Calm
