Window,Alpha,Beta,AlphaBetaRatio
1,3.932280691598694e-06,7.179839357807375e-06,0.5476836591507751
2,6.1214538410489165e-06,9.582494644383674e-06,0.6388163070497218
3,5.524861064210582e-06,6.171455129849039e-06,0.8952282643179044
4,2.883928547904059e-06,3.96596547555873e-06,0.7271693527533211
5,3.0975830432624127e-06,3.0340668090747643e-06,1.0209343558281823
6,5.765770378165837e-06,2.781513342225694e-06,2.072889707425318
7,6.928614164617444e-06,3.1187078956996766e-06,2.22162972498039
8,3.211637262471578e-06,2.9760752141698448e-06,1.079151913627775
9,8.909189496165392e-07,1.935834661210399e-06,0.46022471209368865
10,7.090980289030271e-07,1.1968081601359592e-06,0.5924909710027984
11,1.510944375935175e-06,1.7559267759218446e-06,0.8604825649076077
12,1.999473560082365e-06,2.6879052631803997e-06,0.7438779883620361
13,1.036613708746569e-06,2.207376471286443e-06,0.4696134629642211
14,4.475668123145035e-07,1.8937578852407568e-06,0.23633792672372347
15,2.668362957406962e-06,1.1428816632960846e-06,2.334767494397776
16,7.527125339096411e-06,1.3425366469629092e-06,5.606644225410382
17,3.465792209471284e-06,2.086236278719707e-06,1.6612654303941978
18,7.719585281015577e-07,2.0170814458592646e-06,0.3827106385249149
19,1.020349144094417e-06,1.2071954578936155e-06,0.8452228157607395
20,1.8698295607428082e-06,8.520496536078562e-07,2.194507741215949
21,1.3906640818670466e-06,1.608138362056063e-06,0.8647664371920288
22,1.8569108790764578e-06,2.1568430342990567e-06,0.8609392753886365
23,2.528344447193651e-06,1.9979025634088027e-06,1.2654993759454483
24,2.119514589352698e-06,2.038180343107695e-06,1.0399053236481466
25,3.2025861245489863e-06,2.38700046125307e-06,1.341678050144896
26,2.134785789146426e-06,2.2802253679150065e-06,0.9362170157322793
27,1.2771926892556854e-06,1.81661112329019e-06,0.7030633429913572
28,3.046411331579563e-06,1.9290448783126158e-06,1.5792330006569553
29,4.537908583112236e-06,1.1527602725207028e-06,3.9365587896166314
30,2.314681791958415e-06,1.1226913128836952e-06,2.061725930712892
31,2.0363786769202634e-06,2.2469175182473144e-06,0.906298811764448
32,3.8847255492110455e-06,2.3000981035422377e-06,1.6889390688285957
33,6.004560171700565e-06,2.0026724222191075e-06,2.998273759143831
34,4.209323377573492e-06,1.6282880787537584e-06,2.5851220263156254
35,3.1818265919565244e-06,1.5087328534753218e-06,2.108939687120407
36,1.311316507817066e-06,1.8344865811105404e-06,0.7148139001503278
37,2.433931469401563e-06,1.816885747745659e-06,1.339617239235608
38,4.588334069913527e-06,1.4344588019823788e-06,3.1986516891057364
39,2.1277650665912395e-06,1.3991108222690348e-06,1.5207980902760052
40,2.4831553455210277e-06,1.4380563826734225e-06,1.7267440800232818
41,4.799623860192377e-06,1.149117968867172e-06,4.1767894944014845
42,1.9337161067541863e-06,1.5324426017236954e-06,1.2618522250550444
43,7.310275422670792e-07,2.1771722217518786e-06,0.33576927675425333
44,1.4424920139032318e-06,2.184832125929957e-06,0.6602301370359273
45,2.3694688512959945e-06,1.4674872859941883e-06,1.614643529733026
46,2.4056572780143643e-06,7.046535250929706e-07,3.4139576293143024
47,2.284099296491291e-06,1.3970039051656646e-06,1.6349985050474354
48,3.6904006142411627e-06,2.3899170189791225e-06,1.5441542885943191
49,3.912122870809056e-06,2.220582368969071e-06,1.761755350973673
50,2.4886247319418674e-06,2.2744986291940375e-06,1.094142111144602
51,2.0581095229638065e-06,1.2970345361106343e-06,1.5867808186013128
52,6.828795646396003e-07,6.801199714929519e-07,1.0040575093546964
53,1.0650459985889566e-06,8.537178915948474e-07,1.247538571083854
54,1.3238928162183735e-06,1.7290527749981202e-06,0.765675192430036
55,7.468844174284124e-07,2.119243670192356e-06,0.3524297030745032
56,1.3377049326719021e-06,1.6889532163261585e-06,0.7920319637874292
57,1.8850359574669708e-06,2.1174839786137213e-06,0.8902244250750223
58,1.6370723902755572e-06,2.4556622258832044e-06,0.666652104275769
59,1.8876341360408815e-06,1.1985602384153143e-06,1.5749180354394465
60,1.5366052877950713e-06,1.3324592506991805e-06,1.153209966450208
61,1.2879641895613916e-06,1.8324784696789286e-06,0.7028536546937209
62,1.323443651645348e-06,1.7110579913196111e-06,0.7734651065944731
63,1.6957507343080086e-06,1.6609513754848967e-06,1.020951461515815
64,9.719245590812845e-07,1.222515420500698e-06,0.7950202858653671
65,4.483125859680104e-07,8.135289459174428e-07,0.5510714624449335
66,1.2604212741001709e-06,8.472720248419394e-07,1.4876229087527177
67,2.0431096437746683e-06,1.6576298585330123e-06,1.2325487703164337
68,2.1483781498672706e-06,2.023694869770738e-06,1.0616116994508455
69,1.8868557989245427e-06,2.145951684815196e-06,0.8792629453290949
70,9.665935349193823e-07,1.5271566915634816e-06,0.632936711903346
71,1.0476138165462739e-06,1.013691334480975e-06,1.0334643109903545
72,1.749974781368029e-06,7.647984053941548e-07,2.2881517129551843
73,1.8481609812412673e-06,1.0958649962434814e-06,1.6864860065579095
74,1.1076450627457413e-06,1.2406090987127484e-06,0.8928235847174021
75,1.7010286676778477e-06,9.414389951325999e-07,1.8068389736057842
76,3.019065422074654e-06,1.5265486933537155e-06,1.9777065973847114
77,1.8629162311303096e-06,2.3328781632549012e-06,0.7985484456381182
78,1.0777030874818247e-06,1.3137973440742637e-06,0.8202962902480235
79,1.955004059959166e-06,8.600776466958197e-07,2.273055307819882
80,2.838851816768423e-06,1.4123182036659327e-06,2.0100653021391772
81,1.33968763110184e-06,1.7842266424397192e-06,0.7508505922039004
82,7.543234409614218e-07,1.1837093531102195e-06,0.6372539331377438
83,7.004612114124897e-07,1.0624008501950839e-06,0.6593191367306108
84,9.649112917469338e-07,9.684267982016857e-07,0.9963698790024399
85,5.914967225027204e-07,1.1467357696868366e-06,0.5158090801198719
86,1.3504355842480967e-06,1.754273135066456e-06,0.76979779103608
87,2.8638233893133285e-06,2.1925794679534823e-06,1.3061434858670706
88,3.0329774765829933e-06,2.599471760882956e-06,1.1667668494128167
89,2.8094344690473645e-06,2.165344425687154e-06,1.2974538534006264
90,3.551771691556716e-06,1.7000505047837732e-06,2.089215397755763
91,2.0508446106372806e-06,1.3729420821493743e-06,1.4937590138009562
92,9.111339675709007e-07,2.5994327828420585e-06,0.3505126093603864
93,1.9972484543992015e-06,2.3993354901823487e-06,0.8324173349544425
94,1.4018854369653903e-06,1.3484130328077623e-06,1.039655804902956
95,1.1112777728803248e-06,1.2233454787313835e-06,0.9083924305934628
96,1.6313066353688077e-06,2.217630855737023e-06,0.7356078362404674
97,9.424028347790892e-07,2.2582213625006685e-06,0.4173208395015395
98,3.0333122912447697e-06,1.4587296910824003e-06,2.079420409269934
99,4.1729460366394955e-06,1.6953181718633195e-06,2.461453021560562
100,2.094522638276012e-06,1.747013976118958e-06,1.198915788257776
101,2.2220199709391472e-06,1.7523683073607006e-06,1.2680096767361677
102,3.994338701807825e-06,2.301960674408794e-06,1.7351898085025625
103,1.8347995641921127e-06,1.7452118099579805e-06,1.0513334563306038
104,1.6515492551129286e-06,1.1067416884521722e-06,1.492262623108283
105,1.3905752719844416e-06,1.5786138283196878e-06,0.8808837519588951
106,1.3462262119406617e-06,1.639273548618661e-06,0.8212334134684619
107,2.5680510549130754e-06,1.0298148223868758e-06,2.4937017792780636
108,4.2320062694540114e-06,1.3736706724068987e-06,3.0808012098262494
109,6.373814024154014e-06,1.678376344556741e-06,3.797607160530696
110,4.760543880711758e-06,2.0962152150784524e-06,2.2710186656734055
111,1.628266957934938e-06,1.7188032914664e-06,0.9473259482449439
112,1.819367951564879e-06,1.7414415960479834e-06,1.0447481877622202
113,1.0352559760470665e-06,1.1831147470926948e-06,0.8750258405543787
114,1.6569394251996052e-06,1.1831586623758176e-06,1.4004372176698785
115,3.562206203839214e-06,1.459190216067386e-06,2.4412212778122893
116,4.469276961137811e-06,2.39110202753709e-06,1.8691285062985397
117,4.320429232595581e-06,1.8506646897888524e-06,2.3345283759039632
118,3.576004037185559e-06,1.3292318323802318e-06,2.6902786632652878
119,2.623638619460625e-06,1.959683194275709e-06,1.3388075313011556
120,1.7343305298414304e-06,2.004471351943559e-06,0.8652308890121093
121,2.2665682712622607e-06,1.5757906660936037e-06,1.4383688900005351
122,2.30891002921438e-06,1.7369670175546303e-06,1.3292768405383732
123,1.7359384989420204e-06,1.4007932683699187e-06,1.2392538843094991
124,8.249646230536215e-07,1.6281283973950116e-06,0.5066950643288062
125,2.005638375588078e-06,2.050083001021958e-06,0.9783205726735333
126,2.264565185729587e-06,1.9062058199809795e-06,1.1879961555002403
127,2.317862434775676e-06,1.1432911732247428e-06,2.0273596867173937
128,2.322837533007586e-06,8.248792816531694e-07,2.81597269403143
129,9.198952359983851e-07,1.0299025748598709e-06,0.8931866551780847
130,1.0162793069435257e-06,1.2405438877098364e-06,0.8192207603551014
131,1.3525395776944133e-06,1.0380179135092486e-06,1.3030021544829171
132,1.7510346890707406e-06,8.515309556821931e-07,2.05633709190046
133,1.5213209016886165e-06,8.38260319387079e-07,1.8148549639102316
134,6.707661241402135e-07,8.973265839926455e-07,0.7475161620150007
135,5.569244262922437e-07,1.0923935614938358e-06,0.5098203119493453
136,7.028737188176041e-07,1.1175049662086847e-06,0.6289669756029955
137,1.4279467844411758e-06,8.372905085026639e-07,1.7054376825491422
138,1.5839718826016721e-06,1.069556867495809e-06,1.4809608827161111
139,4.393050222246354e-06,1.5474479590262422e-06,2.8389001365905417
140,5.9182152764427885e-06,1.1570684027640115e-06,5.114836134411174
141,1.995622264913714e-06,1.3198520010123371e-06,1.512004575803238
142,1.381546551375596e-06,1.946323808206086e-06,0.7098235892459017
143,1.8106204441787495e-06,2.3682697095817308e-06,0.7645330415084058
144,2.980112747730331e-06,2.302528057708648e-06,1.2942785812112878
145,4.520114426026835e-06,2.297483406372922e-06,1.967419835759693
146,3.818216213742375e-06,2.2110967458479433e-06,1.7268426724937855
147,5.934039415921074e-06,1.486258951674564e-06,3.9926012955112613
148,6.2919740871556285e-06,1.4582173958412566e-06,4.314839546627231
149,4.412614852578045e-06,1.925880505232116e-06,2.2912194399341597
150,2.03393111098714e-06,1.396593247859266e-06,1.456351814749786
151,8.72120904833462e-07,1.2296565622351944e-06,0.7092394182390033
152,1.4726310749701532e-06,1.2843320728107607e-06,1.1466123957702778
153,3.352077832444088e-06,7.965297432674433e-07,4.208352369484077
154,3.133548254124003e-06,1.4463830044373381e-06,2.1664719818406564
155,1.6051301766139336e-06,1.3473190138271093e-06,1.1913512391207945
156,1.1813270162951823e-06,1.093556305277394e-06,1.0802617209504581
157,3.485433955794932e-06,1.6198394731870703e-06,2.151715656698539
158,4.271572398596182e-06,1.573437054416663e-06,2.7148034848968443
159,2.2102146061960782e-06,1.4484084206450118e-06,1.525960892447598
160,1.3298972666427885e-06,1.491302373786275e-06,0.8917690268716637
161,9.81730157761334e-07,1.2138408499299223e-06,0.808779963055298
162,1.101969415457161e-06,8.829142081746216e-07,1.2481047481786758
163,1.542581717916129e-06,8.938920632312451e-07,1.7256912566602254
164,5.871428670998571e-07,1.1067622828279678e-06,0.5305049478191524
165,5.658728050799834e-07,1.2547405466298013e-06,0.4509879007256936
166,1.4758444024243091e-06,1.607279437956536e-06,0.9182251496358773
167,1.8843839080530037e-06,2.1890963949113306e-06,0.8608044453562451
168,2.2459564302344535e-06,1.5857330779053083e-06,1.416352134875861
169,1.1032269547844917e-06,1.5638645777737825e-06,0.7054491613046028
170,8.563205387061345e-07,2.2653624060899076e-06,0.3780059810316058
171,3.2320857330426754e-06,2.0099347184117948e-06,1.6080550793194899
172,4.089562726705995e-06,1.3112098593011324e-06,3.1189231057839275
173,2.571021506379865e-06,1.5424025573864799e-06,1.6668939597301538
174,5.798376727316049e-06,2.06725267443793e-06,2.8048708312313986
175,4.5024222656481226e-06,2.251511902662021e-06,1.9997328285605735
176,1.5684187818474198e-06,2.517932285584993e-06,0.6228995079917441
177,4.725200933829827e-07,1.9318798685502283e-06,0.24459082631136042
178,2.777570264453806e-07,1.065598454211224e-06,0.26065824828075745
179,5.52833919170145e-07,1.311796138919125e-06,0.4214327994787827
180,2.1178127063356296e-06,2.6037001194775566e-06,0.8133858006507207
181,2.8401212628406954e-06,3.279177413203295e-06,0.8661078389370511
182,5.651722619251311e-06,2.109380294028601e-06,2.6793284431691387
183,3.722342851630646e-06,1.3812139973042975e-06,2.6949790972981074
184,1.5728050056045436e-06,1.8056627969330829e-06,0.8710402674718402
185,8.77858413033535e-07,1.943430466829314e-06,0.4517055938027727
186,8.151602369669467e-07,1.2074794869939906e-06,0.6750924100551644
187,6.380709237245195e-07,1.4350762584186315e-06,0.44462509917600873
188,5.463595586694492e-07,1.573222043412622e-06,0.3472869967447761
189,6.336219673413082e-07,1.259089602357947e-06,0.5032381858723154
190,9.688240801925376e-07,1.7913107909779602e-06,0.5408464489088526
191,3.0838022012454344e-06,1.3783181639637083e-06,2.237366002909784
192,6.904003428562606e-06,1.0272853079345808e-06,6.720628996868963
193,7.101721347794093e-06,1.5403484649528366e-06,4.610464131576577
194,5.025651605432456e-06,1.503916603838127e-06,3.341708970169325
195,3.50616362925823e-06,1.5575139248351595e-06,2.2511282713760052
196,1.2587259288700017e-06,1.7091254648320645e-06,0.7364736847997767
197,1.6075445135970332e-06,1.6923541291941573e-06,0.9498866022577037
198,2.4075525010675894e-06,1.843003882960738e-06,1.3063198202273554
199,1.4229944228956012e-06,2.1262099966079163e-06,0.6692633489475633
200,1.0629255744676435e-06,1.617155788872194e-06,0.6572808765746242
201,1.43133611968607e-06,9.86705519475908e-07,1.45062137733488
202,2.868951259076216e-06,1.039618149076476e-06,2.7596202140418495
203,4.9807501469067505e-06,1.5363917865033992e-06,3.2418489806185455
204,5.57738094746004e-06,1.7605989942932283e-06,3.167888295709844
205,2.8293355990615588e-06,1.2053212411027946e-06,2.3473705619531695
206,3.3881399742263142e-06,9.307801250575001e-07,3.640107779500564
207,2.101508485193267e-06,1.21212619716705e-06,1.7337373700072305
208,1.4330355262861373e-06,1.5590383548264846e-06,0.9191791349133479
209,1.182685556711763e-06,1.1142053112679269e-06,1.0614610653452263
210,1.269214469755274e-06,8.474998305327745e-07,1.497598493863287
211,1.8908085054965582e-06,1.6033314819528108e-06,1.1792998059226087
212,5.975813493790108e-06,2.1638054375360372e-06,2.7617147965922806
213,6.804136815732711e-06,3.2022657211632083e-06,2.1247883243309174
214,1.6246272816471855e-06,2.487467447149173e-06,0.6531250423032197
215,1.240133265684675e-06,2.3120148985181712e-06,0.5363863643264184
216,2.3885292708248116e-06,1.760726475291236e-06,1.3565589569667447
217,1.3592716678226395e-06,9.591058517672829e-07,1.4172279997228634
218,1.1399274147883797e-06,1.023344128489894e-06,1.113923833686839
219,7.343978950169885e-07,1.7304564030064359e-06,0.42439549112076486
220,1.0900626733849303e-06,1.5262316195969976e-06,0.7142183790378829
221,1.1572741309789781e-06,1.1676799366277648e-06,0.9910884778248066
222,1.0122533688357952e-06,1.5859238477173818e-06,0.6382736285179962
223,3.2392146801158234e-06,2.1968869547449553e-06,1.4744566956982434
224,4.965279676191798e-06,2.0283793059034074e-06,2.4479049168667903
225,3.091508503362969e-06,1.2860714533635401e-06,2.4038388343645765
226,2.293363597988698e-06,1.395149787610664e-06,1.6438117386064448
227,2.6179469247108677e-06,1.149801088737364e-06,2.276869408417177
228,2.0994333849304485e-06,6.158051494700417e-07,3.4092494788931345
229,1.5785033657236453e-06,9.203161755943755e-07,1.7151750752443171
230,1.3446658024646747e-06,1.187767780853715e-06,1.132094862430254
231,9.882840373352554e-07,6.897718566100004e-07,1.4327694408878076
232,4.4465373393462515e-06,5.720441692837584e-07,7.773066448546526
233,4.113044449920033e-06,9.575570559181461e-07,4.295351827339701
234,1.4816087333479365e-06,1.3096852689689367e-06,1.1312708239547875
235,1.0768315732793592e-06,1.0796314562479316e-06,0.9974066307976029
236,8.355505961323082e-07,9.761972515445782e-07,0.8559239383334328
237,2.2147395094425144e-06,1.995223292051398e-06,1.1100208774955809
238,2.847300364584935e-06,1.8222387714762975e-06,1.562528692262528
239,1.5085565608435133e-06,1.0668323596386307e-06,1.4140521209485137
240,1.5944760140109159e-06,1.3006682746120446e-06,1.225889833044868
241,2.3316712877087203e-06,1.4117960157914678e-06,1.651563867320847
242,1.2809874450348744e-06,1.8261935225612211e-06,0.7014521896005306
243,5.972419302818135e-07,3.092396760549205e-06,0.1931323748301121
244,2.652072863613262e-06,7.300031570431688e-06,0.3632960813971427
245,2.738475536812685e-06,4.145604451875692e-06,0.6605732815569639
246,1.6289898858345011e-06,1.1515179363535346e-06,1.414645690186084
247,1.5271790975436186e-06,1.5827886209851933e-06,0.9648661086488219
248,2.387316959497778e-06,1.52644144875549e-06,1.563975455097974
249,4.124743411093956e-06,2.9457251940191422e-06,1.4002471851307228
250,3.319283312051514e-06,2.4365382912200426e-06,1.3622947457925878
251,2.397310273406819e-06,1.3164974677355687e-06,1.8209759852636056
252,2.890287650477792e-06,1.5121693158865143e-06,1.9113518705300216
253,3.3309880875959284e-06,1.90131380451118e-06,1.751940200345998
254,2.3959492759794334e-06,1.8956949032506707e-06,1.2638897070783617
255,2.385321250428974e-06,1.4734584087762069e-06,1.6188588943003301
256,3.1185132515186037e-06,1.960572461458493e-06,1.59061361557568
257,1.4516818255173712e-06,1.8357677754875604e-06,0.7907763960677542
258,1.281603036638614e-06,1.332021473891513e-06,0.9621489305982426
259,3.986513068247891e-06,1.3199747483545042e-06,3.0201434332115253
260,6.445907538885529e-06,1.7647187046885585e-06,3.6526543985507978
261,3.104432256603936e-06,1.8840598935784233e-06,1.647735439401367
262,3.5040103230394435e-06,1.6578444032591487e-06,2.113594204709999
263,2.7404551524788415e-06,1.185984911814235e-06,2.310699845486811
264,1.7759033898652437e-06,6.817162247797781e-07,2.6050478561500165
265,2.8345477634142926e-06,1.182463732948612e-06,2.397154081289255
266,2.064593043740662e-06,1.420869497452155e-06,1.4530490290929643
267,1.2145082762423352e-06,1.0842838046222148e-06,1.1201018322555256
268,2.0394101496880544e-06,2.89061546608417e-06,0.7055280003918273
269,4.274152560371041e-06,3.3450663222673486e-06,1.277748226371171
270,3.488572632170613e-06,1.648235579765385e-06,2.1165497669132876
271,8.638962988917424e-07,2.206822057968824e-06,0.3914662243710212
272,1.0209663966618266e-06,2.753808840338844e-06,0.3707470110874512
273,1.0939260872761043e-06,1.6621365202763986e-06,0.6581445470521242
274,5.765261260605383e-07,1.7274203914282397e-06,0.33374975131783857
275,6.538008276378368e-07,1.7332894120108692e-06,0.37720234319053053
276,1.306669343668198e-06,1.1955089155657757e-06,1.092981680567238
277,1.4894042834496469e-06,7.214641510530347e-07,2.0644189753236417
278,1.7989921006062653e-06,9.865109562755012e-07,1.8235905938624608
279,1.770768939153541e-06,1.4526917810516017e-06,1.218957085219883
280,9.521662105030512e-07,1.3052397510950266e-06,0.7294952591692326
281,4.8623216145748e-06,1.2897038302368232e-06,3.7701071366764496
282,4.230365662653368e-06,1.7523194057523447e-06,2.4141521510098745
283,2.490866705820753e-06,1.161528715054106e-06,2.1444727741446528
284,4.101417569592408e-06,9.9372038133164e-07,4.12733566367662
285,2.860251854166092e-06,1.1999977363569753e-06,2.38354770805603
286,1.5174996206215866e-06,1.414361602765246e-06,1.0729219583271303
287,1.2877727080696023e-06,1.2999735334176614e-06,0.9906145586549113
288,8.414856820343554e-07,1.2843248993420875e-06,0.6551968917408808
289,8.556659345378202e-07,1.71779222921718e-06,0.498119574640152
290,1.2812768637083956e-06,1.6272145196036583e-06,0.7874050091566765
291,1.7071586628763936e-06,1.7337599065699654e-06,0.9846569045732525
292,1.911362847278267e-06,1.3265873513046995e-06,1.440811903866293
293,1.8692428287159514e-06,1.282992546196563e-06,1.45693974158878
294,1.5942723348216621e-06,1.6795256849338667e-06,0.9492396270703287
295,1.9188126143637494e-06,1.8337222655343066e-06,1.0464030733709007
296,2.866642914552268e-06,1.6893614724967275e-06,1.6968795377555415
297,2.771148019889776e-06,1.7113083292288887e-06,1.6193154515518828
298,3.755676422907879e-06,9.567963677167266e-07,3.9252619989249387
299,1.9638277926089796e-06,9.897502138991765e-07,1.9841650600633567
300,2.0008682353678845e-06,1.9663989858537626e-06,1.0175291229105043
301,3.196237366666751e-06,1.521439338244187e-06,2.100798425756074
302,3.473465917416365e-06,1.1625976744147515e-06,2.9876766433107638
303,3.352980844421549e-06,1.715821127805091e-06,1.9541552380292355
304,2.7823573805857222e-06,1.5380258099544455e-06,1.8090446613949427
305,1.2516461436486826e-06,8.760802696116133e-07,1.4286888850990405
306,6.287034181199506e-07,1.078942296579051e-06,0.582703468121835
307,1.6408738721855793e-06,7.643305948739995e-07,2.146811711045112
308,1.2675348260247614e-06,1.2784450076175707e-06,0.9914660532695568
309,1.0098528388185103e-06,1.6542489015114883e-06,0.6104600328861074
310,1.6510111610521119e-06,9.93822870806967e-07,1.6612730593647127
311,1.3821906760622365e-06,1.35313854167064e-06,1.0214701846831793
312,1.5120108803542797e-06,1.3292504875372232e-06,1.137491311480101
313,2.8697908899366295e-06,1.2765171846644769e-06,2.248141211425158
314,1.873459479447247e-06,1.597397568612665e-06,1.1728197890487218
315,3.3385331951968197e-06,1.2697026584639432e-06,2.629381905237325
316,3.3482910369539165e-06,1.3993847665958852e-06,2.392687927494667
317,3.2790765369997798e-06,1.807959737182371e-06,1.8136889166072263
318,3.4352475972518732e-06,1.3167923123869802e-06,2.6087998577579175
319,1.8191553909431139e-06,1.0154982805402325e-06,1.7913918967694813
320,9.263695084578613e-07,9.563628353684327e-07,0.9686381300053168
321,8.3954452395797e-07,9.484353106788788e-07,0.8851890208063152
