Window,Alpha,Beta,AlphaBetaRatio
1,3.903173435931732e-06,3.5166643794089553e-06,1.1099078600693015
2,2.53440660400167e-06,4.886821116292861e-06,0.5186207032526431
3,1.6242562590267742e-06,5.162998242139764e-06,0.3145955475579658
4,2.8866331789429386e-06,4.044430534839561e-06,0.7137304384577466
5,6.524439142313624e-06,4.875559369798082e-06,1.3381929430968715
6,4.014830283871267e-06,7.4697557294065265e-06,0.5374781223522347
7,1.6123531815289567e-06,5.728649237356695e-06,0.28145433848781537
8,2.044604907504945e-06,5.244160860202581e-06,0.3898821874479957
9,2.138257540458871e-06,4.796593305858949e-06,0.4457867082137294
10,2.834721615759014e-06,4.19492290666503e-06,0.675750586799847
11,7.769499465516124e-06,5.219381287130511e-06,1.488586297512594
12,5.397321059026965e-06,5.240428139193072e-06,1.029938950724368
13,2.4528637961374936e-06,5.67587818563653e-06,0.4321558208110862
14,2.233707108475616e-06,4.788321211651417e-06,0.4664906571097066
15,3.995589367113492e-06,6.02739360069194e-06,0.6629050020318569
16,4.767665121658315e-06,7.388870599072411e-06,0.6452495083967016
17,5.62755063998085e-06,5.5158181027968365e-06,1.0202567479749485
18,2.266485505586367e-06,4.866079698991245e-06,0.4657723764894803
19,1.5383547581184624e-06,6.946137435039008e-06,0.22146909307587337
20,1.1511762635543895e-06,7.118431587991945e-06,0.16171768307730938
21,1.5558567899525278e-06,4.5713489252729675e-06,0.3403496025759231
22,2.4883859638389385e-06,3.8588375844710225e-06,0.6448537699158052
23,2.5796631946904337e-06,3.965598129164449e-06,0.6505104931633525
24,3.274458779087792e-06,3.937168101208782e-06,0.8316786824729362
25,1.9002995938022016e-06,3.488837930197337e-06,0.5446798136864776
26,9.636542567092665e-07,2.6184246097407947e-06,0.3680282613921282
27,1.8027020773843555e-06,2.936104279597184e-06,0.6139775381655298
28,2.1357980136266365e-06,5.238205561585182e-06,0.40773466953830323
29,9.159194422682583e-07,5.123351447083997e-06,0.17877349460177328
30,2.490343083076548e-06,8.075175406131056e-06,0.3083949212032919
31,4.1922351114432535e-06,7.658731589111191e-06,0.5473798190556212
32,4.035830336264599e-06,5.361285444995974e-06,0.752772889574737
33,1.5565225150527367e-05,6.418418967753637e-06,2.4250871170497916
34,1.9666072412746092e-05,7.209793057700713e-06,2.727688888620866
35,3.2152377391356806e-06,4.114809147800708e-06,0.7813819848374177
36,3.7524223052686286e-06,4.858708263858477e-06,0.7723086263855434
37,4.522567177338663e-06,4.287607389289523e-06,1.054799744173422
38,3.5306990449623364e-06,4.60728788962026e-06,0.7663291570983949
39,2.244173420218575e-06,3.589896768200526e-06,0.6251359203689556
40,1.7993536935914949e-06,3.7486052347484833e-06,0.48000618387660776
41,3.0874240255328816e-06,4.289457698405486e-06,0.7197702466399343
42,3.774197053950555e-06,3.9622081335603645e-06,0.9525489138197124
43,2.4171633145726227e-06,4.284109434086196e-06,0.5642160527788211
44,2.3832058557553756e-06,2.524129557211036e-06,0.9441693866097073
45,3.538393771304985e-06,1.6457043706930417e-06,2.1500786133386103
46,1.5140459107840867e-06,1.6052875293775754e-06,0.943161821839564
47,2.7499694111137595e-06,2.091363434062446e-06,1.3149170375289483
48,3.311678122209989e-06,2.651107610250449e-06,1.2491677476257312
49,1.294694428404181e-06,3.7007238195139534e-06,0.3498489732136304
50,2.0018335818945657e-06,4.5929189548733024e-06,0.43585214578422427
51,2.6435983801448986e-06,5.557603013835503e-06,0.47567240293409435
52,3.0694862713114962e-06,7.897925815329549e-06,0.3886446065818635
53,5.711400270352824e-06,6.4537511987705935e-06,0.8849737299201768
54,3.0894850105183836e-06,3.6477840299121935e-06,0.8469484446404442
55,3.759150947440692e-06,5.032027898317031e-06,0.747044933653477
56,1.3104608363414506e-06,3.991717549245807e-06,0.32829498083827313
57,1.8392020487534916e-06,2.479140706817876e-06,0.7418707795388574
58,2.9415947767089298e-06,3.899848231836396e-06,0.7542844238643012
59,2.393181430882936e-06,6.548969012574276e-06,0.3654287302761602
60,3.3321644818826094e-06,6.5157621635455735e-06,0.511400569610325
61,2.613343287634201e-06,3.211206525881471e-06,0.8138197486120401
62,1.683819317990812e-06,3.2037482029378756e-06,0.5255779204017125
63,8.045054275613709e-07,5.249080576542771e-06,0.15326597026469088
64,2.1550150757277646e-06,7.045460761182407e-06,0.30587283767174067
65,2.7229761230169884e-06,6.593254625986957e-06,0.41299423084382714
66,3.186801447032316e-06,4.58246123387953e-06,0.6954344585550061
67,2.134017515614428e-06,4.2971921180160815e-06,0.4966074257344716
68,3.3076873721869707e-06,5.2726798972907675e-06,0.6273256553819134
69,6.68062683724847e-06,5.436949093274645e-06,1.2287455193413932
70,4.054728421810893e-06,6.56038147585834e-06,0.6180629033131622
71,3.5805803226106824e-06,4.784906531375054e-06,0.7483072655928599
72,1.8749834855545442e-06,3.385953928805859e-06,0.553753395639321
73,1.2508877520366208e-06,3.3243693093406142e-06,0.3762782156970199
74,2.5542393396011208e-06,4.000233484800452e-06,0.6385225635719453
75,2.600847768498955e-06,3.953197880153473e-06,0.6579098358714044
76,8.898669164978089e-07,3.6754640945139167e-06,0.24211008286709831
77,1.2397003802051138e-06,5.651678220832837e-06,0.2193508426639389
78,4.066486924560156e-06,4.3324207703205e-06,0.9386177243950681
79,5.560973428785609e-06,5.274524118253349e-06,1.0543080862102716
80,2.892743121747381e-06,8.704514629142596e-06,0.3323267574348737
81,2.8828207792348194e-06,6.749179311177556e-06,0.4271364926488881
82,2.8322797330832346e-06,5.0596224550041975e-06,0.5597808449683791
83,4.368396443848582e-06,4.47212777923442e-06,0.9768049258638143
84,4.105140461062444e-06,5.2074265313949775e-06,0.7883242204787764
85,4.103153062498547e-06,4.473772300152225e-06,0.9171573310422912
86,2.1349047783505965e-06,4.517447944596582e-06,0.4725908974566498
87,2.492106818281356e-06,4.179937751038257e-06,0.5962066821838053
88,1.7814508404002982e-06,4.582628028604664e-06,0.38874000448662227
89,2.862912735427477e-06,4.233472815206046e-06,0.6762563173062769
90,1.9355880012802008e-06,3.883732523992874e-06,0.49838344667727486
91,1.80572659233501e-06,5.131413242722311e-06,0.3518965452443347
92,1.6327648963848973e-06,5.301132092374738e-06,0.3080030582021341
93,1.1260333072859932e-06,4.171788878290515e-06,0.2699161774810165
94,8.536538692279914e-07,4.166894833197985e-06,0.20486571017508354
95,1.551780375758386e-06,3.0957175970852747e-06,0.5012667748568025
96,2.945595113285704e-06,4.364895833263964e-06,0.6748374361738338
97,2.548428672467829e-06,3.489846381215037e-06,0.7302409315737729
98,2.612958710891731e-06,3.276058021198937e-06,0.7975923179576252
99,2.0942499175065133e-06,4.634198515770311e-06,0.451911999535566
100,1.259190654889777e-06,3.5090138471979572e-06,0.35884459558211057
101,2.7943665632931473e-06,3.5215591214003363e-06,0.7935026694034252
102,2.1962559202241226e-06,2.750147782241487e-06,0.7985956007186207
103,1.1210310275568546e-06,2.181328093605818e-06,0.5139213265729998
104,1.809168369059374e-06,2.7635592396535204e-06,0.654651560603491
105,3.253460965839661e-06,3.3882289913581914e-06,0.9602246407010088
106,3.9219969636059885e-06,3.849822418621049e-06,1.018747499790079
107,4.657658241323144e-06,3.4314183583479617e-06,1.357356566561458
108,2.408771037036621e-06,3.1210542049716526e-06,0.7717812248180737
109,9.838021563900902e-07,3.899050800276198e-06,0.2523183735693827
110,3.0389951158538717e-06,3.5807681119769205e-06,0.8486992234121692
111,2.4562398425812706e-06,3.078357326564171e-06,0.7979060200014985
112,1.5129929512254545e-06,4.382941715534297e-06,0.34520033562458974
113,1.579975521807956e-06,3.192112408987374e-06,0.494962369545491
114,1.238583084945501e-06,4.193198953588036e-06,0.2953790408360353
115,7.947656090811719e-07,3.184742439575485e-06,0.2495541238138904
116,1.5561830797250684e-06,3.5611774423374194e-06,0.43698554899967296
117,4.766395620303346e-06,4.729730750778598e-06,1.0077519993117392
118,3.9334629444767745e-06,3.6276536913762748e-06,1.084299461612743
119,1.6906063750424708e-06,3.3985633327949048e-06,0.49744736510534665
120,7.911230413381544e-07,3.947413304528802e-06,0.20041555831777533
121,3.073990712183638e-06,4.333871075866896e-06,0.7092944525510033
122,3.461472622977232e-06,5.713263615736014e-06,0.6058660786180625
123,1.3346261832319175e-06,7.011664755699858e-06,0.19034369578879046
124,1.5429738425090093e-06,5.339729709152909e-06,0.28896103858294087
125,2.2010290127324285e-06,4.1508206013183495e-06,0.5302635849965078
126,4.852191288004643e-06,5.155832902700423e-06,0.9411071653356444
127,2.4129429871483383e-06,3.1374831700008345e-06,0.7690696193113592
128,2.34026120822232e-06,3.157283132061939e-06,0.7412262728220883
129,1.41475414988479e-06,4.849874353031342e-06,0.29170944377157293
130,1.1113645801143375e-06,3.8178925438798445e-06,0.29109372967970937
131,8.918984174823924e-07,6.538321136611427e-06,0.13641092244432504
132,3.016759595889188e-06,7.807312364382253e-06,0.3864018057804309
133,2.9519157168379167e-06,4.776197815344889e-06,0.6180472063686413
134,1.6320136498618472e-06,4.506387295601082e-06,0.3621556565843642
135,1.0967166414292697e-06,4.744385031380832e-06,0.23116096905610445
136,2.043091987479791e-06,4.522954263072181e-06,0.45171626079898425
137,2.119189158201965e-06,4.106249309531318e-06,0.516088770665473
138,1.4074669931225543e-06,3.109530134284307e-06,0.45263011848782053
139,1.142844303762443e-06,2.9372317912863846e-06,0.38908890580335337
140,1.206123423957083e-06,3.4718660779024478e-06,0.3473991786819643
141,2.406052996899147e-06,3.749195129423859e-06,0.6417518730930621
142,9.966097830476608e-07,1.9535367095766025e-06,0.5101566702903985
143,8.005078970439705e-07,3.2983191207427684e-06,0.24270177255125613
144,3.493844633297327e-06,5.419585818440898e-06,0.6446700449707858
145,4.810158181992338e-06,4.713557017784452e-06,1.0204943238924247
146,3.349259953569333e-06,3.8099796296478244e-06,0.8790755539758416
147,2.5343393819881843e-06,3.6386801479840287e-06,0.6964996314370494
148,2.0961086638503524e-06,3.584592764398797e-06,0.5847550340078613
149,2.2434942945390857e-06,3.7275110649175753e-06,0.6018746169942476
150,2.697254193640345e-06,3.6691298392527e-06,0.735120944695078
151,1.8874234691406198e-06,4.046461990138893e-06,0.4664379583300707
152,7.344253635462349e-06,6.049062013406772e-06,1.2141144559577988
153,2.3748956807611084e-05,5.537900415463203e-06,4.288440568793555
154,2.9790255369727247e-05,4.910681882571815e-06,6.066419304303527
155,1.007264229679895e-05,6.7643039495464985e-06,1.48908777191691
156,5.677954571746482e-06,3.7979370557222806e-06,1.4950101827495046
157,5.448271787204153e-06,3.621960293928337e-06,1.5042328863564154
158,2.0215181629065638e-06,3.850880957904954e-06,0.524949533627328
159,1.4919901934114674e-06,4.102690661096336e-06,0.363661391183895
160,5.557649212429568e-06,4.096773277244402e-06,1.3565918434636417
161,1.116739033329519e-05,6.59183656035265e-06,1.694124274934656
162,4.835319421588492e-06,6.192000003532314e-06,0.7808978389583521
163,1.8898339950190988e-06,3.998619391614518e-06,0.4726216250994678
164,1.0360071426918263e-05,6.98200482051031e-06,1.4838247313271051
165,1.5166415978930902e-05,5.764211150048072e-06,2.6311347006787593
166,2.3300972135364305e-06,2.881038278222147e-06,0.8087699601736305
167,2.500529338478338e-06,2.7743205673807693e-06,0.9013123313428351
168,4.532120502554543e-06,3.970609129425759e-06,1.1414169349905243
169,3.701224539454155e-06,4.272522290811223e-06,0.8662856007595935
170,1.7564837342974135e-06,3.4481477218744716e-06,0.5093992125553598
171,2.5710249423885743e-06,4.3391994557453375e-06,0.592511353444331
172,5.278861284958837e-06,6.237694803789223e-06,0.8462839960929281
173,6.647921849810261e-06,7.165870084185475e-06,0.927720119358808
174,3.4852231797349874e-06,6.802467368252538e-06,0.5123469163557773
175,5.333144681301715e-06,8.321024222400807e-06,0.640924066408135
176,6.391470515523434e-06,8.067114322452476e-06,0.7922870880526172
177,9.13485316692794e-06,8.752285439624245e-06,1.0437106090680834
178,5.711746487624901e-06,7.40670245004382e-06,0.7711591664643026
179,7.222637410478898e-06,1.3445751264327868e-05,0.53716875081877
180,9.951602875997137e-06,1.4417914293355641e-05,0.6902248600952802
181,7.2763609460773755e-06,1.1075968208708653e-05,0.6569503278599358
182,7.271990314396517e-06,1.3337906391079192e-05,0.5452122770377403
183,4.852252262431134e-06,1.0507338896375284e-05,0.4617964938872406
184,2.269301917854751e-06,3.7142924654859147e-06,0.6109647904524595
185,4.311531400504792e-06,4.327071217183722e-06,0.9964086986557518
186,7.297419883021525e-06,5.47670027459753e-06,1.3324482840277023
187,3.62249969677318e-06,4.377289949081817e-06,0.8275667682313432
188,4.240393124173786e-06,6.060209731756824e-06,0.6997106225471371
189,4.351669570398061e-06,4.696306258872674e-06,0.926615371852401
190,2.903015041910536e-06,4.855029970406999e-06,0.5979396748537837
191,4.298935888322397e-06,5.294293291864942e-06,0.8119942835294027
192,7.299977982282549e-06,5.91480268708937e-06,1.2341879126782527
193,6.41498579057027e-06,5.251135993857584e-06,1.2216377176432067
194,2.030436086580171e-06,2.785133497566373e-06,0.7290264859312308
