Time(s),Filtered_Voltage
0.0272,-0.017332308572165837
0.0272,-0.18199278786426826
0.0272,-0.27272449403243426
0.0272,-0.2744282916772964
0.0272,-0.2234585650519134
0.0272,-0.1777949959697917
0.0272,-0.17333487900241434
0.0272,-0.2002073868391404
0.0272,-0.22154244964169773
0.0272,-0.21551132093791242
0.0272,-0.1950812150294955
0.0282,-0.18612035380794878
0.0282,-0.1942760150147706
0.0282,-0.20180136217079783
0.0282,-0.1943985666871087
0.0282,-0.18011253897413076
0.0282,-0.17629619070914504
0.0282,-0.18496054048876773
0.0282,-0.19081174934656348
0.0282,-0.18323869980416474
0.0282,-0.1708083714415013
0.0282,-0.1686963221388023
0.0282,-0.1774526285166984
0.0282,-0.18262423921879317
0.0282,-0.1750583060156332
0.0282,-0.16337211398332196
0.0282,-0.1617253792673798
0.0282,-0.17033278417520176
0.0282,-0.17549750432677333
0.0282,-0.16850807012785962
0.0282,-0.15717294059954
0.0282,-0.15463835298707454
0.0282,-0.16139071486891124
0.0282,-0.16503791402972431
0.0282,-0.15763301560306311
0.0282,-0.14658233794772332
0.0282,-0.14456545523163045
0.0282,-0.15262793412961617
0.0282,-0.15923971112154947
0.0282,-0.15580551880030308
0.0282,-0.14720785651588264
0.0292,-0.1438340645986459
0.0292,-0.147095000022407
0.0292,-0.14839293703332124
0.0292,-0.14208599183417045
0.0292,-0.13390914964454337
0.0292,-0.13334446618231788
0.0292,-0.14074688596988552
0.0292,-0.14674925516339365
0.0292,-0.1443620966994157
0.0292,-0.13736046189345114
0.0292,-0.13435080239229524
0.0292,-0.13733846464606123
0.0292,-0.140110769741279
0.0292,-0.137546964649137
0.0292,-0.13237131607474395
0.0292,-0.13043197235277842
0.0292,-0.13192155498323038
0.0292,-0.13115101843489402
0.0292,-0.12497161336470135
0.0292,-0.11770643182309565
0.0292,-0.11547751601627027
0.0292,-0.11777451125135681
0.0292,-0.1180586930800559
0.0292,-0.1127200485400421
0.0292,-0.1061569710202203
0.0292,-0.10501547492673276
0.0292,-0.109346969313478
0.0292,-0.11248760262146584
0.0292,-0.10962506961317965
0.0292,-0.10358455646685753
0.0292,-0.10047925399294134
0.0292,-0.10148060174308358
0.0292,-0.10170907000243698
0.0292,-0.09726666780839233
0.0292,-0.09062142487305297
0.0292,-0.08726077686078079
0.0292,-0.088490460228979
0.0292,-0.09011086466474794
0.0292,-0.0883403788543142
0.0292,-0.08460926652813465
0.0292,-0.0828979641270812
0.0292,-0.0838222240866558
0.0292,-0.08389724438910437
0.0292,-0.08080089370504914
0.0292,-0.07701890579286802
0.0292,-0.076688174366717
0.0307,-0.08000143303318505
0.0307,-0.08280350412129497
0.0307,-0.08176533344725984
0.0307,-0.07806293777244341
0.0307,-0.07490937479444357
0.0307,-0.07283712302202897
0.0307,-0.06942254018424224
0.0307,-0.06360109184137136
0.0307,-0.05815941914447658
0.0307,-0.05655619846344585
0.0307,-0.058282194081011235
0.0307,-0.05920867903373116
0.0307,-0.05664229813260866
0.0307,-0.05245927538284591
0.0307,-0.050389256810740954
0.0307,-0.05132099946975091
0.0307,-0.0527345518362867
0.0307,-0.052439141653803145
0.0307,-0.051177607583387436
0.0307,-0.05077931274809154
0.0321,-0.0509721576313316
0.0321,-0.04961860436450531
0.0321,-0.04595652272586709
0.0321,-0.04202414056101732
0.0321,-0.04010451546024745
0.0321,-0.03976850959928101
0.0321,-0.03865542640280874
0.0321,-0.03585626194106093
0.0321,-0.03319911445939735
