Time(s),ADC
0.0010061264038085938,186
0.017005205154418945,525
0.03253579139709473,667
0.04772353172302246,228
0.06307625770568848,65
0.07908248901367188,183
0.0950779914855957,546
0.11031126976013184,652
0.12564468383789062,190
0.14163875579833984,72
0.15765810012817383,198
0.17293095588684082,588
0.18898487091064453,640
0.20497894287109375,170
0.22096872329711914,76
0.23697757720947266,195
0.2529785633087158,591
0.2684507369995117,614
0.2835958003997803,115
0.29950404167175293,71
0.31545376777648926,185
0.3314523696899414,613
0.34645819664001465,586
0.3619704246520996,99
0.37801313400268555,86
0.39336657524108887,200
0.4085400104522705,643
0.4247860908508301,569
0.44054627418518066,96
0.45572710037231445,107
0.4711880683898926,232
0.48718857765197754,676
0.5031862258911133,539
0.5191867351531982,89
0.5341856479644775,115
0.5502753257751465,242
0.5662317276000977,679
0.5813503265380859,528
0.5973458290100098,91
0.6123473644256592,131
0.6284263134002686,254
0.6440050601959229,680
0.6594717502593994,489
0.6757998466491699,71
0.691523551940918,129
0.7069616317749023,267
0.721961259841919,679
0.7370665073394775,457
0.7523136138916016,57
0.7678401470184326,127
0.7838902473449707,283
0.799889087677002,679
0.8158724308013916,451
0.831871509552002,67
0.8478386402130127,131
0.8637762069702148,286
0.8797042369842529,679
0.8947043418884277,450
0.9100937843322754,70
0.9250941276550293,147
0.9410967826843262,324
0.9568512439727783,679
0.972759485244751,415
0.9887666702270508,66
1.0047731399536133,143
1.0207247734069824,335
1.0367140769958496,679
1.0517323017120361,389
1.0671863555908203,52
1.0821869373321533,138
1.097348928451538,342
1.1125993728637695,680
1.1279425621032715,376
1.1440482139587402,56
1.1598799228668213,149
1.1760010719299316,373
1.1910009384155273,679
1.2070088386535645,360
1.22281813621521,42
1.2383644580841064,133
1.253507137298584,357
1.269547462463379,679
1.286407470703125,338
1.3017973899841309,41
1.3168048858642578,143
1.3317945003509521,389
1.3478143215179443,680
1.3633313179016113,333
1.3793301582336426,52
1.3946506977081299,159
1.4099442958831787,413
1.4252920150756836,673
1.441307783126831,272
1.4573132991790771,5
1.4728617668151855,130
1.4888463020324707,421
1.5048534870147705,674
1.5199151039123535,252
1.5352582931518555,11
1.5513007640838623,123
1.5668179988861084,443
1.5818150043487549,667
1.5968163013458252,266
1.611861228942871,66
1.6278173923492432,138
1.6438181400299072,437
1.659834861755371,604
1.675849437713623,139
1.6917271614074707,4
1.70688796043396,121
1.721994161605835,528
1.7379560470581055,653
1.7540192604064941,206
1.768705129623413,66
1.7847015857696533,153
1.799955129623413,574
1.8159551620483398,643
1.830596923828125,184
1.8455650806427002,83
1.8611443042755127,215
1.8771774768829346,658
1.8928236961364746,624
