Window,Alpha,Beta,AlphaBetaRatio
1,3.465077932060326e-05,2.5704598904816463e-05,1.3480381253531437
2,3.6305833873589576e-05,2.41109917882397e-05,1.505779363721487
3,9.423713469969832e-05,4.9369580712592075e-05,1.9088097030498468
4,6.556043090522558e-05,5.9533942657249785e-05,1.1012277698903907
5,2.9911161731952123e-05,1.7329697518510015e-05,1.7260059905837206
6,0.00011411377718534612,2.7573470018568637e-05,4.138535233632153
7,0.00012113642369565869,8.895697234038915e-05,1.361741755689892
8,7.313324623221088e-05,0.0001557842081208648,0.4694522449635629
9,4.463896787495643e-05,6.787411143317338e-05,0.6576729614929323
10,5.1018580970264035e-05,3.885653928324916e-05,1.3129985817408567
11,0.00011274543678254632,9.445215843917435e-05,1.193677716271064
12,4.610384636508327e-05,3.2217396636683465e-05,1.4310233345356147
13,3.5161899132141143e-06,8.315411479493615e-06,0.42285218499232224
14,1.3986254407228846e-05,8.731966740064555e-06,1.601730151244878
15,3.986520618306733e-05,1.4184722522253797e-05,2.81043257071293
16,4.81008965839514e-05,2.026704275455706e-05,2.373355460215619
17,1.8720959762611342e-05,9.671932795712484e-06,1.9355965511785032
18,1.8842230377249877e-05,9.335453199580265e-06,2.0183519722531575
19,2.676370164462596e-05,1.2141272962032315e-05,2.2043571319350366
20,6.839703363544564e-06,1.5509109509186655e-05,0.4410119974646603
21,4.71305943612006e-06,1.308497393355905e-05,0.36018867596155235
22,3.87294424512414e-05,2.6290252560423852e-05,1.473148360299244
23,0.00014948522176651323,8.426313071945988e-05,1.7740288129597213
24,0.00010025211654773169,7.72026913507954e-05,1.2985572755773989
25,7.296335971874379e-05,9.929351692327023e-05,0.7348250115375281
26,6.833119729053063e-05,0.00011353681067336216,0.601841789330466
27,9.081829872199645e-05,0.00011794471788488242,0.7700073420043942
28,8.748887771909016e-05,7.5842573467842e-05,1.1535589276409022
29,8.429813145486339e-05,3.794777046440275e-05,2.2214251436442103
30,8.199437448614609e-05,2.8375708501619266e-05,2.8895974344206086
31,0.00015189435552988086,4.0562820217321257e-05,3.7446694957619955
32,9.342542269486837e-05,4.600403806304688e-05,2.0308091773776944
33,5.478752760882177e-05,1.4156472507910584e-05,3.8701397949387957
34,1.6463371309335016e-05,1.1204595094774444e-05,1.4693410310751112
35,8.9015492996565e-06,1.9228788962624866e-05,0.46292823312786385
36,1.2278613226146262e-05,3.530430249196802e-05,0.34779367837502906
37,1.491519229969295e-05,4.5645382689917144e-05,0.3267623452960478
38,1.579176819686203e-05,3.646957504323563e-05,0.4330121252616867
39,9.025951982861002e-06,1.4377593696161438e-05,0.6277790410276214
40,5.5494676332072535e-06,1.0096059173356e-05,0.549666710339077
41,3.3875354483689245e-05,3.0426953658973754e-05,1.1133337521516375
42,4.6949804661076594e-05,2.954580431629379e-05,1.589051499782151
43,8.788875746679158e-06,7.4667510279382835e-06,1.1770682742459058
44,6.810718658979225e-06,4.930554396410646e-06,1.3813291795213343
45,7.611170296492724e-06,9.885419654986174e-06,0.7699390174754669
46,3.077359003632359e-05,4.6859257454030764e-05,0.6567238088762436
47,2.075455290870125e-05,2.995956474402208e-05,0.6927521506413896
48,2.332792288115195e-06,8.393590795219164e-06,0.27792542489013294
49,1.4932756092242413e-05,6.508207735620558e-06,2.294449823799082
50,2.1952558800250358e-05,6.040453300727663e-06,3.634256852479241
51,3.368333400927278e-06,3.3147206033235197e-06,1.0161741528230173
52,1.475911908107978e-06,2.3379384011236265e-06,0.631287765066285
53,1.1050859762784464e-06,2.927369730276891e-06,0.37750133331259106
54,1.1330187929431227e-06,2.9591237278110522e-06,0.38288996918058876
55,2.280905357285908e-06,2.2327410147497636e-06,1.0215718447495543
56,1.3443879164434e-05,1.9960732649676653e-05,0.6735163182826247
57,3.381812592870613e-05,8.870977994047633e-05,0.38122206989350965
58,1.9297650882342146e-05,5.642953090057091e-05,0.3419778717697422
59,3.49269096680131e-05,7.994281880026228e-05,0.43689865071280815
60,9.041327811080495e-05,0.0001132971577704824,0.7980189431933001
61,5.288523493566219e-05,4.539944177676866e-05,1.1648873392695345
62,2.146123187980588e-05,4.0726689291427975e-05,0.526957438799794
63,1.5109445581685241e-05,1.0099443546929106e-05,1.4960671359244841
64,1.5023216281326212e-05,3.4924107494633246e-06,4.301675077490474
65,5.1741370521991e-06,4.717193344214492e-06,1.0968677081139862
66,4.4768888200180435e-06,6.236138327385181e-06,0.7178944059592738
67,9.942497095384177e-07,3.7731754370290933e-06,0.2635047657156556
68,9.784350626176043e-07,3.171993469653052e-06,0.30846061695222343
69,1.2839506455924838e-06,3.0352440278713825e-06,0.4230139764060153
70,5.111992794752626e-06,6.652245439029568e-06,0.7684612423889107
71,4.27652771721604e-05,0.00011267187805941643,0.3795559096796855
72,3.797866694986226e-05,0.00014403715374892512,0.2636727119453072
73,1.6931278807677626e-05,5.003344503005432e-05,0.3383992207114115
74,3.0468658662810505e-05,4.89780474978691e-05,0.6220880622923181
75,2.52190541926608e-05,2.8120688935901744e-05,0.8968149482448696
76,2.3932939814936645e-05,1.9586826835564668e-05,1.221889590174992
77,9.347253518037588e-06,8.741342189620862e-06,1.069315594250064
78,1.2927820924355446e-05,5.184322674140166e-06,2.4936374020159846
79,3.273398283959978e-05,4.547159291568291e-05,0.7198776365784626
80,9.473337053762325e-05,0.00015314969695614082,0.618567143262145
81,0.0002527573149359874,0.0002547830083266167,0.9920493387532637
82,0.00019903411400004593,0.00023385862466206804,0.8510873365806181
83,0.0001228063282491471,8.404147690820729e-05,1.4612585685908397
84,6.136154088975684e-05,4.639379959506058e-05,1.3226237433738846
85,4.7938016262903704e-05,6.844041217059418e-05,0.7004343595040555
86,1.6950568450434787e-05,7.100553927519141e-05,0.2387217761242627
87,1.0525267787653839e-05,5.82369986033102e-05,0.18073163178185458
88,2.6944683885073e-05,3.992181878481033e-05,0.6749362805916312
89,1.8973195918952658e-05,2.6199893492808e-05,0.7241707270360047
90,1.2357283085121568e-05,2.976611905466492e-05,0.4151459268985537
91,1.2316839604991975e-05,3.470533988342793e-05,0.3548975358363617
92,7.2625495352909306e-06,2.76775629588197e-05,0.2623984469332281
93,0.00013146035030526496,0.00010219506544787609,1.2863669075324917
94,0.00032045705117552666,0.0002492842711205652,1.2855085069548535
95,0.00010404578291372159,0.00021665150188924224,0.4802449187124142
96,9.135851101977107e-05,0.00016477100093013092,0.554457462199374
97,0.0005023741502095051,0.00010257064953924273,4.897835320983325
98,0.00045266781269932106,0.00015488216124023475,2.922659453319461
99,5.794913290673179e-05,6.887977893513802e-05,0.8413083462608194
100,2.9902354986903225e-06,2.394466268633019e-05,0.12488108677335526
101,8.267508834363284e-06,2.2690394112738983e-05,0.36436162339382583
102,7.468593146405966e-06,1.3681779739147947e-05,0.5458787737267786
103,5.74041566526503e-06,1.009228838906634e-05,0.5687922742560559
104,7.00402653544984e-06,1.1396838563925262e-05,0.6145587213650533
105,8.982434998919431e-06,1.1400370583417002e-05,0.7879072818900551
106,5.359363696457716e-06,1.1138837419599167e-05,0.48114210617956693
107,4.310628652956138e-06,1.0356474891027304e-05,0.41622547230726187
108,9.126936397161386e-06,1.2198698141267505e-05,0.7481893798392697
109,6.430165031297854e-06,1.2107241038280907e-05,0.5311007694458907
110,5.413241636377212e-06,1.001750551677869e-05,0.5403782036666088
111,9.087669403422419e-06,8.937366630143594e-06,1.0168173444705615
112,1.1243715712517298e-05,1.2009117193762073e-05,0.9362649669500811
113,5.789769123487595e-06,1.550144506438092e-05,0.3734986705717697
114,7.51057391288924e-06,1.1106346873894193e-05,0.6762416119510073
115,6.605299866640866e-06,1.2113099250461996e-05,0.5453022162258713
116,1.0616423997667882e-05,4.618114294055944e-05,0.22988655805536187
117,6.889214764297808e-06,4.566667545356779e-05,0.15085868843906777
118,7.412544511401225e-06,2.3478940205948566e-05,0.31571035346489795
119,1.5844437682615932e-05,3.5397491614913695e-05,0.4476147026175251
120,1.8135921701877e-05,3.7979540574468194e-05,0.4775181960486616
121,8.807626915947183e-05,7.347864236466335e-05,1.198664895336017
122,0.0003161900276490565,0.00018771065782502026,1.6844543155551768
123,0.00032571724439353557,0.00026940728158479865,1.2090142570664437
124,0.0001959673475376282,0.00015304300437528982,1.2804724288937763
125,3.645551235730994e-05,4.510366773916381e-05,0.8082604848930142
126,7.612478828082386e-06,1.0031654555346129e-05,0.7588457902017269
127,1.0402093165514684e-05,1.7236522702577404e-05,0.603491397018219
128,5.833899632850626e-06,1.0187544319359374e-05,0.5726502334585652
129,7.92371034754735e-06,6.891101230216447e-06,1.1498467491383042
130,6.8466726864309935e-06,6.6612460569243874e-06,1.0278366281506528
131,3.627662342371585e-06,4.924348465236122e-06,0.7366786424602954
132,3.286761705586364e-05,6.5400668638524845e-06,5.025578138585372
133,5.778393822440775e-05,1.7183170248537207e-05,3.3628217254803063
134,2.7764027055212844e-05,1.5823231597894482e-05,1.7546369642284239
135,2.1106530430746334e-05,6.841506320345144e-06,3.0850706617021064
136,2.7024322189023664e-05,7.98532136204284e-06,3.3842497958166313
137,2.8226552971454576e-05,9.372771163696412e-06,3.011548290092111
138,3.341233776278385e-05,9.00023599797161e-06,3.7123846275046586
139,2.7997537796870432e-05,1.2843559118224832e-05,2.1798893545903733
140,7.876999937668435e-06,8.359824304411322e-06,0.9422446753470514
