Window,Alpha,Beta,AlphaBetaRatio
1,2.315130362140984e-05,1.33509601556927e-05,1.7340553302107178
2,1.041740114838518e-05,7.392954771962532e-06,1.4090984551796168
3,3.504885062514351e-06,7.582996813907889e-06,0.46220315642043797
4,4.8826615149730314e-06,1.0779529301671853e-05,0.45295683868272
5,8.481802195819136e-06,9.110519084685375e-06,0.9309900036406157
6,1.0203780892881047e-05,5.4265051757663474e-06,1.8803595615183466
7,1.0329962248003438e-05,6.926862512891973e-06,1.4912902094964011
8,7.950734556067177e-06,6.7744274934654e-06,1.1736393316979834
9,6.861267228460922e-06,4.25736378777208e-06,1.611623429542884
10,1.1868604336121789e-05,6.924458169648738e-06,1.7140119913127956
11,1.0977788781162818e-05,8.531197173487935e-06,1.2867817444517704
12,1.8777826267274958e-06,9.332501429407505e-06,0.20120892998852838
13,3.08842456799391e-06,1.1873459350770797e-05,0.2601116049463223
14,9.037297627399678e-06,8.013618241912976e-06,1.1277424697039642
15,1.6432476132546548e-05,7.53351031735628e-06,2.1812508963700687
16,6.103984710855985e-06,1.1157711939314361e-05,0.5470641959619432
17,3.6536836729604485e-06,1.2188072057681305e-05,0.2997753587006226
18,5.115439345379673e-06,3.787815078660731e-05,0.1350498701533327
19,1.0296001437793506e-05,2.8917756474669612e-05,0.3560442680542056
20,4.422491344666275e-05,4.750149981951982e-06,9.310214122647425
21,1.6681911966606658e-05,4.101403963974598e-06,4.0673662270615525
22,6.128346227912217e-06,6.3090125046412816e-06,0.9713637789438274
23,6.398169574021101e-06,8.063699329069867e-06,0.7934533906733746
24,2.515923861883025e-06,7.59846082928831e-06,0.3311096705513546
25,6.143930692088994e-06,7.088242035735543e-06,0.8667777794711607
26,1.1542521577523795e-05,1.0639362585094227e-05,1.0848884493977953
27,5.200180947540596e-06,9.53773851886497e-06,0.5452215886664337
28,3.8839721261506815e-06,4.4829495985062e-06,0.8663876407276342
29,3.404735701100253e-06,5.045119308425208e-06,0.6748573210973305
30,6.433813488613764e-05,2.3508634124292266e-05,2.736787452047453
31,7.580254585365009e-05,2.270363983510232e-05,3.3387838427762153
32,1.2497260583169493e-05,9.246447818125975e-06,1.3515742292592505
33,5.43957858595677e-06,7.62392375440581e-06,0.7134880622085548
34,4.829536533045174e-06,5.135702307696604e-06,0.9403848283432248
35,2.006463818996497e-06,4.334092868328504e-06,0.46294896762798593
36,1.1888855941404758e-06,3.951963686701137e-06,0.30083413927643815
37,1.98380275778591e-06,4.220574439023485e-06,0.47003145814551794
38,8.26418751924512e-06,4.346297309367872e-06,1.9014317086483592
39,5.329112272051595e-06,3.4816605493348003e-06,1.5306237344332048
40,2.396572202888249e-06,5.824968356968107e-06,0.41143093936662406
41,1.576006752854615e-06,8.905565439639135e-06,0.17696874651436806
42,1.6608316461044204e-06,4.7463120174772044e-06,0.3499204519190456
43,1.563902212050088e-05,4.982803276167231e-05,0.31385991486564174
44,6.786426449936089e-05,0.0002500674231549697,0.27138386777115153
45,2.2500852601314204e-05,8.537129296260119e-05,0.26356462249167534
46,2.1136210155557143e-06,1.994949470022215e-06,1.0594859906562835
47,1.0710878056577672e-05,2.754971434153862e-06,3.887836339714106
48,6.8201131946520785e-06,4.001095742897933e-06,1.7045613584123767
49,1.3933800946645135e-06,3.8284485323433295e-06,0.36395424488354
50,1.5795442723239668e-06,4.332145472444334e-06,0.3646101642641141
51,1.5039847746730896e-06,5.32097676723026e-06,0.2826520092956471
52,2.034736518711261e-06,5.982954272459766e-06,0.3400889303261751
53,1.9948619971052483e-06,5.444471831386467e-06,0.36640138086585433
54,1.7532809048559797e-06,4.51966130771337e-06,0.3879230733205131
55,9.041229408155933e-07,2.8370048915652833e-06,0.31868924283622024
56,5.911207828708701e-07,4.619532569653155e-06,0.12796116792293832
57,2.0691202837636284e-06,3.86027214040537e-06,0.5360037345829065
58,1.81519049089468e-06,3.930890895974389e-06,0.461775851564237
59,4.1560836289375115e-06,4.533734441047829e-06,0.9167020439725986
60,9.623171647969588e-06,4.287192788655642e-06,2.2446323555669108
61,4.14722314637814e-06,6.216107987974262e-06,0.6671736003302058
62,4.687688999651383e-06,6.9006919703410275e-06,0.6793070926508433
63,6.11232050746683e-06,6.0655756013347685e-06,1.007706590306413
64,2.239020013576374e-06,4.159546985726891e-06,0.5382845827344584
65,3.463862151125632e-06,3.4347650770450867e-06,1.0084713432877852
66,3.588832033932023e-06,4.33128380933086e-06,0.8285839007364566
67,3.506505866040008e-06,5.372114230818263e-06,0.6527236233965762
68,1.5904110281260565e-06,3.7885648847201234e-06,0.41979247459649793
69,6.04447277418209e-06,6.667208662562852e-06,0.9065972103321895
70,2.8628472287924495e-05,1.5414661971684078e-05,1.857223488942767
71,1.8542267808991353e-05,1.3777169942714844e-05,1.34586913612082
72,3.174627942219397e-06,4.576673261215718e-06,0.6936540497925144
73,3.958763086479952e-06,4.607620267262321e-06,0.8591773750557149
74,3.1675271936863936e-06,4.358801598794483e-06,0.7266968045901514
75,4.508296617961916e-06,3.0089294304638403e-06,1.4983058666374043
76,3.5521968299227313e-06,3.6485672442924282e-06,0.9735867786127685
77,1.5095747950698602e-06,4.065761116307317e-06,0.37128959422016283
78,1.6907762888658751e-06,4.64026114837662e-06,0.36437093404912946
79,3.367358150230749e-06,1.3133491397618657e-05,0.25639474289687453
80,6.7943860057240705e-06,3.5230951522163524e-05,0.19285275339355434
81,5.5242756623524765e-06,1.854800798388012e-05,0.2978366014913066
82,8.824583873463015e-06,1.2342712064236372e-05,0.7149631156861133
83,1.8617506159411593e-05,3.1764292024334005e-05,0.5861143117922819
84,3.7059554327933116e-05,5.8959593488178255e-05,0.6285585116078484
85,2.7994451498595855e-05,3.2272911824626294e-05,0.8674287480076186
86,4.527186433291043e-05,2.5740382413307747e-05,1.7587875582417505
87,0.0001534844554847523,4.615134773767665e-05,3.325676562191746
88,7.752796565296387e-05,2.1784912468767997e-05,3.5587916988012718
89,2.7982149794952942e-05,2.5910363328596068e-05,1.079959761277077
90,4.2345965334183244e-05,4.912514532308079e-05,0.8620018333927973
91,3.3628716934342335e-05,3.5108478750277394e-05,0.9578517250359824
92,3.912391654097035e-05,2.4121132192318132e-05,1.6219767890261039
93,3.846431422446526e-05,2.2096038502634515e-05,1.740778747279932
94,2.215418525204245e-05,2.2669351255784373e-05,0.9772747795943004
95,1.4077673657289814e-05,3.7693873237322e-05,0.37347378892734817
96,2.0662610822659894e-05,3.0006328372053985e-05,0.6886084350761074
97,1.4049612816291358e-05,1.5735727103224693e-05,0.8928480218376561
98,5.544760724136909e-06,1.0124565955156273e-05,0.5476541659855606
99,7.957313436182972e-06,1.4832163858679832e-05,0.5364903942539931
100,2.573020073092731e-05,2.4012215979525585e-05,1.0715462809790897
101,3.254438760843017e-05,2.1093854037398316e-05,1.542837432682081
102,1.1185623624412727e-05,2.0982415409088703e-05,0.5330951373485621
103,1.0036150897348202e-05,2.1873467800308438e-05,0.4588276074453399
104,1.0840382335310755e-05,2.0105108672313703e-05,0.5391854633563261
105,4.508543670954247e-06,2.9939950232193074e-05,0.15058621126585622
106,1.3757211285543305e-05,2.790056172754217e-05,0.49308008275556725
107,2.6318717491505625e-05,2.2978588355818742e-05,1.1453583259321969
108,2.0356332613200965e-05,3.0264481320044802e-05,0.6726146203509702
109,1.7760216753826953e-05,2.5481695243630155e-05,0.6969794036080312
